
[TRAIN] Epoch 0: Loss: 0.7748, Acc: 51.36, F1: 65.75, Dice: 48.97, Pre: 0.51, Re: 0.93, TP: 1881, TN: 189, FP: 1826, FN: 134
[VALID] Epoch 0: Loss: 0.0670, Acc: 82.42, F1: 82.53, Dice: 70.26, Pre: 0.82, Re: 0.83, TP: 515, TN: 507, FP: 113, FN: 105
[TRAIN] Epoch 1: Loss: 0.7187, Acc: 69.31, F1: 71.69, Dice: 55.87, Pre: 0.67, Re: 0.78, TP: 1566, TN: 1227, FP: 788, FN: 449
[VALID] Epoch 1: Loss: 0.0670, Acc: 86.29, F1: 86.72, Dice: 76.55, Pre: 0.84, Re: 0.90, TP: 555, TN: 515, FP: 105, FN: 65
[TRAIN] Epoch 2: Loss: 0.5904, Acc: 84.74, F1: 85.92, Dice: 75.32, Pre: 0.80, Re: 0.93, TP: 1877, TN: 1538, FP: 477, FN: 138
[VALID] Epoch 2: Loss: 0.0670, Acc: 91.21, F1: 91.90, Dice: 85.01, Pre: 0.85, Re: 1.00, TP: 618, TN: 513, FP: 107, FN: 2
[TRAIN] Epoch 3: Loss: 0.4499, Acc: 87.62, F1: 88.78, Dice: 79.82, Pre: 0.81, Re: 0.98, TP: 1974, TN: 1557, FP: 458, FN: 41
[VALID] Epoch 3: Loss: 0.0670, Acc: 91.45, F1: 92.11, Dice: 85.38, Pre: 0.85, Re: 1.00, TP: 619, TN: 515, FP: 105, FN: 1
[TRAIN] Epoch 4: Loss: 0.3650, Acc: 88.59, F1: 89.61, Dice: 81.17, Pre: 0.82, Re: 0.98, TP: 1983, TN: 1587, FP: 428, FN: 32
[VALID] Epoch 4: Loss: 0.0670, Acc: 91.29, F1: 91.95, Dice: 85.10, Pre: 0.85, Re: 1.00, TP: 617, TN: 515, FP: 105, FN: 3
[TRAIN] Epoch 5: Loss: 0.3246, Acc: 89.01, F1: 89.92, Dice: 81.69, Pre: 0.83, Re: 0.98, TP: 1977, TN: 1610, FP: 405, FN: 38
[VALID] Epoch 5: Loss: 0.0664, Acc: 91.29, F1: 91.94, Dice: 85.08, Pre: 0.86, Re: 0.99, TP: 616, TN: 516, FP: 104, FN: 4
[TRAIN] Epoch 6: Loss: 0.3051, Acc: 89.33, F1: 90.24, Dice: 82.22, Pre: 0.83, Re: 0.99, TP: 1988, TN: 1612, FP: 403, FN: 27
[VALID] Epoch 6: Loss: 0.0670, Acc: 91.45, F1: 92.11, Dice: 85.38, Pre: 0.85, Re: 1.00, TP: 619, TN: 515, FP: 105, FN: 1
[TRAIN] Epoch 7: Loss: 0.2858, Acc: 89.38, F1: 90.26, Dice: 82.25, Pre: 0.83, Re: 0.98, TP: 1983, TN: 1619, FP: 396, FN: 32
[VALID] Epoch 7: Loss: 0.0664, Acc: 91.53, F1: 92.18, Dice: 85.50, Pre: 0.86, Re: 1.00, TP: 619, TN: 516, FP: 104, FN: 1
[TRAIN] Epoch 8: Loss: 0.2719, Acc: 89.18, F1: 90.01, Dice: 81.84, Pre: 0.84, Re: 0.98, TP: 1965, TN: 1629, FP: 386, FN: 50
[VALID] Epoch 8: Loss: 0.0670, Acc: 91.45, F1: 92.11, Dice: 85.38, Pre: 0.85, Re: 1.00, TP: 619, TN: 515, FP: 105, FN: 1
[TRAIN] Epoch 9: Loss: 0.2641, Acc: 89.33, F1: 90.15, Dice: 82.06, Pre: 0.84, Re: 0.98, TP: 1967, TN: 1633, FP: 382, FN: 48
[VALID] Epoch 9: Loss: 0.0664, Acc: 91.69, F1: 92.32, Dice: 85.73, Pre: 0.86, Re: 1.00, TP: 619, TN: 518, FP: 102, FN: 1
[TRAIN] Epoch 10: Loss: 0.2480, Acc: 90.12, F1: 90.77, Dice: 83.11, Pre: 0.85, Re: 0.97, TP: 1958, TN: 1674, FP: 341, FN: 57
[VALID] Epoch 10: Loss: 0.0654, Acc: 92.58, F1: 92.93, Dice: 86.80, Pre: 0.89, Re: 0.98, TP: 605, TN: 543, FP: 77, FN: 15
