
[TRAIN] Epoch 0: Loss: 0.8260, Acc: 58.44, F1: 59.33, Dice: 42.18, Pre: 0.58, Re: 0.61, TP: 1222, TN: 1133, FP: 882, FN: 793
[VALID] Epoch 0: Loss: 0.0654, Acc: 85.81, F1: 86.25, Dice: 75.82, Pre: 0.84, Re: 0.89, TP: 552, TN: 512, FP: 108, FN: 68
[TRAIN] Epoch 1: Loss: 0.5358, Acc: 76.80, F1: 77.00, Dice: 62.60, Pre: 0.76, Re: 0.78, TP: 1565, TN: 1530, FP: 485, FN: 450
[VALID] Epoch 1: Loss: 0.0659, Acc: 85.89, F1: 86.30, Dice: 75.90, Pre: 0.84, Re: 0.89, TP: 551, TN: 514, FP: 106, FN: 69
[TRAIN] Epoch 2: Loss: 0.4244, Acc: 83.18, F1: 83.87, Dice: 72.22, Pre: 0.81, Re: 0.87, TP: 1763, TN: 1589, FP: 426, FN: 252
[VALID] Epoch 2: Loss: 0.0659, Acc: 85.81, F1: 86.23, Dice: 75.79, Pre: 0.84, Re: 0.89, TP: 551, TN: 513, FP: 107, FN: 69
[TRAIN] Epoch 3: Loss: 0.3742, Acc: 85.31, F1: 86.06, Dice: 75.54, Pre: 0.82, Re: 0.91, TP: 1828, TN: 1610, FP: 405, FN: 187
[VALID] Epoch 3: Loss: 0.0659, Acc: 88.06, F1: 88.63, Dice: 79.59, Pre: 0.85, Re: 0.93, TP: 577, TN: 515, FP: 105, FN: 43
[TRAIN] Epoch 4: Loss: 0.3442, Acc: 86.35, F1: 87.22, Dice: 77.33, Pre: 0.82, Re: 0.93, TP: 1876, TN: 1604, FP: 411, FN: 139
[VALID] Epoch 4: Loss: 0.0659, Acc: 87.98, F1: 88.56, Dice: 79.48, Pre: 0.84, Re: 0.93, TP: 577, TN: 514, FP: 106, FN: 43
[TRAIN] Epoch 5: Loss: 0.3200, Acc: 87.32, F1: 88.16, Dice: 78.83, Pre: 0.83, Re: 0.94, TP: 1903, TN: 1616, FP: 399, FN: 112
[VALID] Epoch 5: Loss: 0.0659, Acc: 88.47, F1: 89.13, Dice: 80.38, Pre: 0.84, Re: 0.95, TP: 586, TN: 511, FP: 109, FN: 34
[TRAIN] Epoch 6: Loss: 0.3080, Acc: 87.32, F1: 88.13, Dice: 78.78, Pre: 0.83, Re: 0.94, TP: 1897, TN: 1622, FP: 393, FN: 118
[VALID] Epoch 6: Loss: 0.0659, Acc: 91.53, F1: 92.15, Dice: 85.44, Pre: 0.86, Re: 0.99, TP: 616, TN: 519, FP: 101, FN: 4
[TRAIN] Epoch 7: Loss: 0.3008, Acc: 87.82, F1: 88.63, Dice: 79.58, Pre: 0.83, Re: 0.95, TP: 1914, TN: 1625, FP: 390, FN: 101
[VALID] Epoch 7: Loss: 0.0654, Acc: 89.92, F1: 90.48, Dice: 82.61, Pre: 0.86, Re: 0.96, TP: 594, TN: 521, FP: 99, FN: 26
[TRAIN] Epoch 8: Loss: 0.2919, Acc: 88.56, F1: 89.32, Dice: 80.70, Pre: 0.84, Re: 0.96, TP: 1927, TN: 1642, FP: 373, FN: 88
[VALID] Epoch 8: Loss: 0.0659, Acc: 91.37, F1: 92.06, Dice: 85.28, Pre: 0.85, Re: 1.00, TP: 620, TN: 513, FP: 107, FN: 0
[TRAIN] Epoch 9: Loss: 0.2720, Acc: 88.76, F1: 89.57, Dice: 81.12, Pre: 0.84, Re: 0.97, TP: 1946, TN: 1631, FP: 384, FN: 69
[VALID] Epoch 9: Loss: 0.0654, Acc: 91.77, F1: 92.34, Dice: 85.77, Pre: 0.86, Re: 0.99, TP: 615, TN: 523, FP: 97, FN: 5
[TRAIN] Epoch 10: Loss: 0.2649, Acc: 89.55, F1: 90.21, Dice: 82.16, Pre: 0.85, Re: 0.96, TP: 1939, TN: 1670, FP: 345, FN: 76
[VALID] Epoch 10: Loss: 0.0659, Acc: 91.53, F1: 92.18, Dice: 85.50, Pre: 0.86, Re: 1.00, TP: 619, TN: 516, FP: 104, FN: 1
[TRAIN] Epoch 11: Loss: 0.2602, Acc: 89.53, F1: 90.20, Dice: 82.14, Pre: 0.85, Re: 0.96, TP: 1941, TN: 1667, FP: 348, FN: 74
[VALID] Epoch 11: Loss: 0.0659, Acc: 91.45, F1: 91.96, Dice: 85.11, Pre: 0.87, Re: 0.98, TP: 606, TN: 528, FP: 92, FN: 14
[TRAIN] Epoch 12: Loss: 0.2550, Acc: 89.83, F1: 90.43, Dice: 82.52, Pre: 0.85, Re: 0.96, TP: 1936, TN: 1684, FP: 331, FN: 79
[VALID] Epoch 12: Loss: 0.0654, Acc: 91.61, F1: 92.12, Dice: 85.39, Pre: 0.87, Re: 0.98, TP: 608, TN: 528, FP: 92, FN: 12
[TRAIN] Epoch 13: Loss: 0.2456, Acc: 90.30, F1: 90.89, Dice: 83.30, Pre: 0.86, Re: 0.97, TP: 1950, TN: 1689, FP: 326, FN: 65
[VALID] Epoch 13: Loss: 0.0644, Acc: 92.34, F1: 92.32, Dice: 85.74, Pre: 0.93, Re: 0.92, TP: 571, TN: 574, FP: 46, FN: 49
[TRAIN] Epoch 14: Loss: 0.2582, Acc: 89.43, F1: 90.04, Dice: 81.88, Pre: 0.85, Re: 0.96, TP: 1925, TN: 1679, FP: 336, FN: 90
[VALID] Epoch 14: Loss: 0.0659, Acc: 91.29, F1: 91.99, Dice: 85.16, Pre: 0.85, Re: 1.00, TP: 620, TN: 512, FP: 108, FN: 0
[TRAIN] Epoch 15: Loss: 0.2354, Acc: 90.40, F1: 90.96, Dice: 83.42, Pre: 0.86, Re: 0.97, TP: 1947, TN: 1696, FP: 319, FN: 68
[VALID] Epoch 15: Loss: 0.0654, Acc: 93.15, F1: 93.47, Dice: 87.73, Pre: 0.89, Re: 0.98, TP: 608, TN: 547, FP: 73, FN: 12
[TRAIN] Epoch 16: Loss: 0.2335, Acc: 90.60, F1: 91.13, Dice: 83.70, Pre: 0.86, Re: 0.97, TP: 1946, TN: 1705, FP: 310, FN: 69
[VALID] Epoch 16: Loss: 0.0659, Acc: 92.74, F1: 93.23, Dice: 87.32, Pre: 0.87, Re: 1.00, TP: 620, TN: 530, FP: 90, FN: 0
[TRAIN] Epoch 17: Loss: 0.2196, Acc: 91.04, F1: 91.52, Dice: 84.36, Pre: 0.87, Re: 0.97, TP: 1947, TN: 1722, FP: 293, FN: 68
[VALID] Epoch 17: Loss: 0.0654, Acc: 92.82, F1: 93.20, Dice: 87.27, Pre: 0.89, Re: 0.98, TP: 610, TN: 541, FP: 79, FN: 10
[TRAIN] Epoch 18: Loss: 0.2231, Acc: 90.89, F1: 91.39, Dice: 84.15, Pre: 0.87, Re: 0.97, TP: 1948, TN: 1715, FP: 300, FN: 67
[VALID] Epoch 18: Loss: 0.0644, Acc: 93.31, F1: 93.47, Dice: 87.74, Pre: 0.91, Re: 0.96, TP: 594, TN: 563, FP: 57, FN: 26
[TRAIN] Epoch 19: Loss: 0.2299, Acc: 90.27, F1: 90.79, Dice: 83.13, Pre: 0.86, Re: 0.96, TP: 1932, TN: 1706, FP: 309, FN: 83
[VALID] Epoch 19: Loss: 0.0654, Acc: 93.63, F1: 93.87, Dice: 88.45, Pre: 0.90, Re: 0.98, TP: 605, TN: 556, FP: 64, FN: 15
[TRAIN] Epoch 20: Loss: 0.2158, Acc: 91.07, F1: 91.54, Dice: 84.40, Pre: 0.87, Re: 0.97, TP: 1948, TN: 1722, FP: 293, FN: 67
[VALID] Epoch 20: Loss: 0.0644, Acc: 93.79, F1: 93.96, Dice: 88.61, Pre: 0.91, Re: 0.97, TP: 599, TN: 564, FP: 56, FN: 21
[TRAIN] Epoch 21: Loss: 0.2156, Acc: 91.34, F1: 91.77, Dice: 84.79, Pre: 0.87, Re: 0.97, TP: 1946, TN: 1735, FP: 280, FN: 69
[VALID] Epoch 21: Loss: 0.0659, Acc: 93.15, F1: 93.56, Dice: 87.89, Pre: 0.88, Re: 1.00, TP: 617, TN: 538, FP: 82, FN: 3
[TRAIN] Epoch 22: Loss: 0.2124, Acc: 91.44, F1: 91.84, Dice: 84.91, Pre: 0.88, Re: 0.96, TP: 1942, TN: 1743, FP: 272, FN: 73
[VALID] Epoch 22: Loss: 0.0659, Acc: 93.15, F1: 93.52, Dice: 87.82, Pre: 0.89, Re: 0.99, TP: 613, TN: 542, FP: 78, FN: 7
[TRAIN] Epoch 23: Loss: 0.2160, Acc: 91.24, F1: 91.75, Dice: 84.75, Pre: 0.87, Re: 0.97, TP: 1962, TN: 1715, FP: 300, FN: 53
[VALID] Epoch 23: Loss: 0.0644, Acc: 94.11, F1: 94.36, Dice: 89.33, Pre: 0.91, Re: 0.99, TP: 611, TN: 556, FP: 64, FN: 9
[TRAIN] Epoch 24: Loss: 0.2053, Acc: 91.59, F1: 91.99, Dice: 85.16, Pre: 0.88, Re: 0.97, TP: 1946, TN: 1745, FP: 270, FN: 69
[VALID] Epoch 24: Loss: 0.0649, Acc: 92.98, F1: 93.24, Dice: 87.34, Pre: 0.90, Re: 0.97, TP: 600, TN: 553, FP: 67, FN: 20
[TRAIN] Epoch 25: Loss: 0.2027, Acc: 91.79, F1: 92.19, Dice: 85.51, Pre: 0.88, Re: 0.97, TP: 1954, TN: 1745, FP: 270, FN: 61
[VALID] Epoch 25: Loss: 0.0644, Acc: 93.79, F1: 93.95, Dice: 88.59, Pre: 0.92, Re: 0.96, TP: 598, TN: 565, FP: 55, FN: 22
[TRAIN] Epoch 26: Loss: 0.2035, Acc: 91.84, F1: 92.19, Dice: 85.51, Pre: 0.88, Re: 0.96, TP: 1941, TN: 1760, FP: 255, FN: 74
