
[TRAIN] Epoch 0: Loss: 0.7850, Acc: 51.74, F1: 60.10, Dice: 42.96, Pre: 0.51, Re: 0.73, TP: 1465, TN: 620, FP: 1395, FN: 550
[VALID] Epoch 0: Loss: 0.0763, Acc: 52.50, F1: 67.80, Dice: 51.28, Pre: 0.51, Re: 1.00, TP: 620, TN: 31, FP: 589, FN: 0
[TRAIN] Epoch 1: Loss: 0.7377, Acc: 60.37, F1: 66.67, Dice: 50.00, Pre: 0.58, Re: 0.79, TP: 1597, TN: 836, FP: 1179, FN: 418
[VALID] Epoch 1: Loss: 0.0685, Acc: 80.73, F1: 83.34, Dice: 71.45, Pre: 0.73, Re: 0.96, TP: 598, TN: 403, FP: 217, FN: 22
[TRAIN] Epoch 2: Loss: 0.6977, Acc: 66.90, F1: 71.05, Dice: 55.10, Pre: 0.63, Re: 0.81, TP: 1637, TN: 1059, FP: 956, FN: 378
[VALID] Epoch 2: Loss: 0.0680, Acc: 85.32, F1: 86.32, Dice: 75.93, Pre: 0.81, Re: 0.93, TP: 574, TN: 484, FP: 136, FN: 46
[TRAIN] Epoch 3: Loss: 0.6630, Acc: 72.85, F1: 75.74, Dice: 60.96, Pre: 0.68, Re: 0.85, TP: 1708, TN: 1228, FP: 787, FN: 307
[VALID] Epoch 3: Loss: 0.0680, Acc: 88.87, F1: 89.93, Dice: 81.70, Pre: 0.82, Re: 0.99, TP: 616, TN: 486, FP: 134, FN: 4
[TRAIN] Epoch 4: Loss: 0.6417, Acc: 75.21, F1: 77.07, Dice: 62.70, Pre: 0.72, Re: 0.83, TP: 1679, TN: 1352, FP: 663, FN: 336
[VALID] Epoch 4: Loss: 0.0680, Acc: 89.35, F1: 90.29, Dice: 82.31, Pre: 0.83, Re: 0.99, TP: 614, TN: 494, FP: 126, FN: 6
[TRAIN] Epoch 5: Loss: 0.6184, Acc: 79.13, F1: 80.74, Dice: 67.70, Pre: 0.75, Re: 0.87, TP: 1763, TN: 1426, FP: 589, FN: 252
[VALID] Epoch 5: Loss: 0.0680, Acc: 89.44, F1: 90.39, Dice: 82.46, Pre: 0.83, Re: 0.99, TP: 616, TN: 493, FP: 127, FN: 4
[TRAIN] Epoch 6: Loss: 0.5918, Acc: 81.56, F1: 82.74, Dice: 70.56, Pre: 0.78, Re: 0.88, TP: 1781, TN: 1506, FP: 509, FN: 234
[VALID] Epoch 6: Loss: 0.0680, Acc: 89.68, F1: 90.56, Dice: 82.75, Pre: 0.83, Re: 0.99, TP: 614, TN: 498, FP: 122, FN: 6
[TRAIN] Epoch 7: Loss: 0.5727, Acc: 82.90, F1: 83.82, Dice: 72.15, Pre: 0.80, Re: 0.89, TP: 1785, TN: 1556, FP: 459, FN: 230
[VALID] Epoch 7: Loss: 0.0680, Acc: 89.35, F1: 90.31, Dice: 82.33, Pre: 0.83, Re: 0.99, TP: 615, TN: 493, FP: 127, FN: 5
[TRAIN] Epoch 8: Loss: 0.5543, Acc: 84.24, F1: 85.06, Dice: 74.01, Pre: 0.81, Re: 0.90, TP: 1808, TN: 1587, FP: 428, FN: 207
[VALID] Epoch 8: Loss: 0.0680, Acc: 89.84, F1: 90.74, Dice: 83.04, Pre: 0.83, Re: 1.00, TP: 617, TN: 497, FP: 123, FN: 3
[TRAIN] Epoch 9: Loss: 0.5244, Acc: 84.86, F1: 85.49, Dice: 74.66, Pre: 0.82, Re: 0.89, TP: 1797, TN: 1623, FP: 392, FN: 218
[VALID] Epoch 9: Loss: 0.0680, Acc: 89.60, F1: 90.48, Dice: 82.61, Pre: 0.83, Re: 0.99, TP: 613, TN: 498, FP: 122, FN: 7
[TRAIN] Epoch 10: Loss: 0.5088, Acc: 86.25, F1: 86.86, Dice: 76.77, Pre: 0.83, Re: 0.91, TP: 1831, TN: 1645, FP: 370, FN: 184
[VALID] Epoch 10: Loss: 0.0680, Acc: 90.00, F1: 90.83, Dice: 83.20, Pre: 0.84, Re: 0.99, TP: 614, TN: 502, FP: 118, FN: 6
[TRAIN] Epoch 11: Loss: 0.4878, Acc: 86.38, F1: 87.03, Dice: 77.04, Pre: 0.83, Re: 0.91, TP: 1842, TN: 1639, FP: 376, FN: 173
[VALID] Epoch 11: Loss: 0.0680, Acc: 89.84, F1: 90.71, Dice: 83.00, Pre: 0.84, Re: 0.99, TP: 615, TN: 499, FP: 121, FN: 5
[TRAIN] Epoch 12: Loss: 0.4704, Acc: 87.44, F1: 87.99, Dice: 78.56, Pre: 0.84, Re: 0.92, TP: 1854, TN: 1670, FP: 345, FN: 161
[VALID] Epoch 12: Loss: 0.0680, Acc: 89.60, F1: 90.52, Dice: 82.68, Pre: 0.83, Re: 0.99, TP: 616, TN: 495, FP: 125, FN: 4
[TRAIN] Epoch 13: Loss: 0.4452, Acc: 88.51, F1: 89.11, Dice: 80.36, Pre: 0.85, Re: 0.94, TP: 1894, TN: 1673, FP: 342, FN: 121
[VALID] Epoch 13: Loss: 0.0680, Acc: 89.84, F1: 90.71, Dice: 83.00, Pre: 0.84, Re: 0.99, TP: 615, TN: 499, FP: 121, FN: 5
[TRAIN] Epoch 14: Loss: 0.4227, Acc: 88.81, F1: 89.35, Dice: 80.75, Pre: 0.85, Re: 0.94, TP: 1892, TN: 1687, FP: 328, FN: 123
[VALID] Epoch 14: Loss: 0.0680, Acc: 89.76, F1: 90.64, Dice: 82.88, Pre: 0.83, Re: 0.99, TP: 615, TN: 498, FP: 122, FN: 5
[TRAIN] Epoch 15: Loss: 0.4100, Acc: 88.61, F1: 89.16, Dice: 80.44, Pre: 0.85, Re: 0.94, TP: 1888, TN: 1683, FP: 332, FN: 127
[VALID] Epoch 15: Loss: 0.0680, Acc: 89.92, F1: 90.65, Dice: 82.90, Pre: 0.85, Re: 0.98, TP: 606, TN: 509, FP: 111, FN: 14
[TRAIN] Epoch 16: Loss: 0.3948, Acc: 89.16, F1: 89.66, Dice: 81.26, Pre: 0.86, Re: 0.94, TP: 1895, TN: 1698, FP: 317, FN: 120
[VALID] Epoch 16: Loss: 0.0680, Acc: 90.65, F1: 91.25, Dice: 83.91, Pre: 0.86, Re: 0.98, TP: 605, TN: 519, FP: 101, FN: 15
[TRAIN] Epoch 17: Loss: 0.3787, Acc: 89.11, F1: 89.59, Dice: 81.15, Pre: 0.86, Re: 0.94, TP: 1890, TN: 1701, FP: 314, FN: 125
[VALID] Epoch 17: Loss: 0.0675, Acc: 90.16, F1: 90.84, Dice: 83.22, Pre: 0.85, Re: 0.98, TP: 605, TN: 513, FP: 107, FN: 15
[TRAIN] Epoch 18: Loss: 0.3723, Acc: 88.98, F1: 89.42, Dice: 80.87, Pre: 0.86, Re: 0.93, TP: 1877, TN: 1709, FP: 306, FN: 138
[VALID] Epoch 18: Loss: 0.0680, Acc: 91.05, F1: 91.67, Dice: 84.63, Pre: 0.86, Re: 0.99, TP: 611, TN: 518, FP: 102, FN: 9
