
[TRAIN] Epoch 0: Loss: 0.8290, Acc: 49.21, F1: 60.29, Dice: 43.15, Pre: 0.49, Re: 0.77, TP: 1554, TN: 429, FP: 1586, FN: 461
[VALID] Epoch 0: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 1: Loss: 0.8076, Acc: 50.65, F1: 60.99, Dice: 43.88, Pre: 0.50, Re: 0.77, TP: 1555, TN: 486, FP: 1529, FN: 460
[VALID] Epoch 1: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 2: Loss: 0.7877, Acc: 51.94, F1: 62.63, Dice: 45.59, Pre: 0.51, Re: 0.81, TP: 1623, TN: 470, FP: 1545, FN: 392
[VALID] Epoch 2: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 3: Loss: 0.7539, Acc: 56.75, F1: 67.13, Dice: 50.53, Pre: 0.54, Re: 0.88, TP: 1780, TN: 507, FP: 1508, FN: 235
[VALID] Epoch 3: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 4: Loss: 0.6966, Acc: 65.24, F1: 73.36, Dice: 57.93, Pre: 0.59, Re: 0.96, TP: 1929, TN: 700, FP: 1315, FN: 86
[VALID] Epoch 4: Loss: 0.0680, Acc: 86.53, F1: 88.11, Dice: 78.75, Pre: 0.79, Re: 1.00, TP: 619, TN: 454, FP: 166, FN: 1
[TRAIN] Epoch 5: Loss: 0.6313, Acc: 73.15, F1: 78.26, Dice: 64.29, Pre: 0.66, Re: 0.97, TP: 1948, TN: 1000, FP: 1015, FN: 67
[VALID] Epoch 5: Loss: 0.0675, Acc: 88.63, F1: 89.64, Dice: 81.23, Pre: 0.82, Re: 0.98, TP: 610, TN: 489, FP: 131, FN: 10
[TRAIN] Epoch 6: Loss: 0.5867, Acc: 79.70, F1: 82.63, Dice: 70.41, Pre: 0.72, Re: 0.97, TP: 1946, TN: 1266, FP: 749, FN: 69
[VALID] Epoch 6: Loss: 0.0680, Acc: 89.11, F1: 90.04, Dice: 81.88, Pre: 0.83, Re: 0.98, TP: 610, TN: 495, FP: 125, FN: 10
[TRAIN] Epoch 7: Loss: 0.5464, Acc: 82.78, F1: 84.65, Dice: 73.38, Pre: 0.76, Re: 0.95, TP: 1913, TN: 1423, FP: 592, FN: 102
[VALID] Epoch 7: Loss: 0.0675, Acc: 89.19, F1: 90.06, Dice: 81.92, Pre: 0.83, Re: 0.98, TP: 607, TN: 499, FP: 121, FN: 13
[TRAIN] Epoch 8: Loss: 0.5146, Acc: 84.09, F1: 85.65, Dice: 74.90, Pre: 0.78, Re: 0.95, TP: 1913, TN: 1476, FP: 539, FN: 102
[VALID] Epoch 8: Loss: 0.0675, Acc: 89.27, F1: 90.02, Dice: 81.86, Pre: 0.84, Re: 0.97, TP: 600, TN: 507, FP: 113, FN: 20
[TRAIN] Epoch 9: Loss: 0.4795, Acc: 86.30, F1: 87.44, Dice: 77.68, Pre: 0.81, Re: 0.95, TP: 1921, TN: 1557, FP: 458, FN: 94
[VALID] Epoch 9: Loss: 0.0675, Acc: 89.60, F1: 90.38, Dice: 82.45, Pre: 0.84, Re: 0.98, TP: 606, TN: 505, FP: 115, FN: 14
[TRAIN] Epoch 10: Loss: 0.4456, Acc: 87.62, F1: 88.50, Dice: 79.38, Pre: 0.83, Re: 0.95, TP: 1921, TN: 1610, FP: 405, FN: 94
[VALID] Epoch 10: Loss: 0.0675, Acc: 90.08, F1: 90.83, Dice: 83.20, Pre: 0.84, Re: 0.98, TP: 609, TN: 508, FP: 112, FN: 11
[TRAIN] Epoch 11: Loss: 0.4155, Acc: 88.24, F1: 88.96, Dice: 80.12, Pre: 0.84, Re: 0.95, TP: 1910, TN: 1646, FP: 369, FN: 105
[VALID] Epoch 11: Loss: 0.0675, Acc: 89.68, F1: 90.43, Dice: 82.54, Pre: 0.84, Re: 0.98, TP: 605, TN: 507, FP: 113, FN: 15
[TRAIN] Epoch 12: Loss: 0.3879, Acc: 88.83, F1: 89.50, Dice: 80.99, Pre: 0.84, Re: 0.95, TP: 1917, TN: 1663, FP: 352, FN: 98
[VALID] Epoch 12: Loss: 0.0675, Acc: 89.84, F1: 90.60, Dice: 82.81, Pre: 0.84, Re: 0.98, TP: 607, TN: 507, FP: 113, FN: 13
