
[TRAIN] Epoch 0: Loss: 0.7792, Acc: 50.02, F1: 0.10, Dice: 0.05, Pre: 1.00, Re: 0.00, TP: 1, TN: 2015, FP: 0, FN: 2014
[VALID] Epoch 0: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 1: Loss: 0.7523, Acc: 50.02, F1: 0.10, Dice: 0.05, Pre: 1.00, Re: 0.00, TP: 1, TN: 2015, FP: 0, FN: 2014
[VALID] Epoch 1: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 2: Loss: 0.7339, Acc: 52.56, F1: 10.49, Dice: 5.53, Pre: 0.93, Re: 0.06, TP: 112, TN: 2006, FP: 9, FN: 1903
[VALID] Epoch 2: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 3: Loss: 0.7151, Acc: 60.12, F1: 36.46, Dice: 22.29, Pre: 0.90, Re: 0.23, TP: 461, TN: 1962, FP: 53, FN: 1554
[VALID] Epoch 3: Loss: 0.0659, Acc: 71.85, F1: 64.35, Dice: 47.44, Pre: 0.88, Re: 0.51, TP: 315, TN: 576, FP: 44, FN: 305
[TRAIN] Epoch 4: Loss: 0.6955, Acc: 68.96, F1: 59.02, Dice: 41.87, Pre: 0.87, Re: 0.45, TP: 901, TN: 1878, FP: 137, FN: 1114
[VALID] Epoch 4: Loss: 0.0664, Acc: 75.81, F1: 72.07, Dice: 56.33, Pre: 0.85, Re: 0.62, TP: 387, TN: 553, FP: 67, FN: 233
[TRAIN] Epoch 5: Loss: 0.6700, Acc: 76.90, F1: 73.71, Dice: 58.36, Pre: 0.86, Re: 0.65, TP: 1305, TN: 1794, FP: 221, FN: 710
[VALID] Epoch 5: Loss: 0.0680, Acc: 86.21, F1: 86.88, Dice: 76.80, Pre: 0.83, Re: 0.91, TP: 566, TN: 503, FP: 117, FN: 54
[TRAIN] Epoch 6: Loss: 0.6313, Acc: 84.76, F1: 84.79, Dice: 73.59, Pre: 0.85, Re: 0.85, TP: 1711, TN: 1705, FP: 310, FN: 304
[VALID] Epoch 6: Loss: 0.0680, Acc: 89.11, F1: 89.96, Dice: 81.76, Pre: 0.83, Re: 0.98, TP: 605, TN: 500, FP: 120, FN: 15
[TRAIN] Epoch 7: Loss: 0.5933, Acc: 87.15, F1: 87.85, Dice: 78.34, Pre: 0.83, Re: 0.93, TP: 1873, TN: 1639, FP: 376, FN: 142
