
[TRAIN] Epoch 0: Loss: 1.0091, Acc: 49.95, F1: 66.24, Dice: 49.52, Pre: 0.50, Re: 0.98, TP: 1979, TN: 34, FP: 1981, FN: 36
[VALID] Epoch 0: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 1: Loss: 0.9642, Acc: 50.12, F1: 66.57, Dice: 49.89, Pre: 0.50, Re: 0.99, TP: 2001, TN: 19, FP: 1996, FN: 14
[VALID] Epoch 1: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 2: Loss: 0.9207, Acc: 50.02, F1: 66.49, Dice: 49.80, Pre: 0.50, Re: 0.99, TP: 1998, TN: 18, FP: 1997, FN: 17
[VALID] Epoch 2: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 3: Loss: 0.8812, Acc: 50.05, F1: 66.59, Dice: 49.91, Pre: 0.50, Re: 1.00, TP: 2006, TN: 11, FP: 2004, FN: 9
[VALID] Epoch 3: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 4: Loss: 0.8474, Acc: 50.02, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 2014, TN: 2, FP: 2013, FN: 1
[VALID] Epoch 4: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 5: Loss: 0.8127, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 2015, TN: 0, FP: 2015, FN: 0
[VALID] Epoch 5: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 6: Loss: 0.7849, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 2015, TN: 0, FP: 2015, FN: 0
[VALID] Epoch 6: Loss: 0.0763, Acc: 50.00, F1: 66.67, Dice: 50.00, Pre: 0.50, Re: 1.00, TP: 620, TN: 0, FP: 620, FN: 0
[TRAIN] Epoch 7: Loss: 0.7579, Acc: 50.69, F1: 63.28, Dice: 46.28, Pre: 0.50, Re: 0.85, TP: 1712, TN: 331, FP: 1684, FN: 303
