
[TRAIN] Epoch 0: Loss: 0.7624, Acc: 56.77, F1: 67.39, Dice: 50.82, Pre: 0.54, Re: 0.89, TP: 1800, TN: 488, FP: 1527, FN: 215
[VALID] Epoch 0: Loss: 0.0706, Acc: 76.37, F1: 80.79, Dice: 67.77, Pre: 0.68, Re: 0.99, TP: 616, TN: 331, FP: 289, FN: 4
[TRAIN] Epoch 1: Loss: 0.6531, Acc: 82.66, F1: 83.83, Dice: 72.16, Pre: 0.79, Re: 0.90, TP: 1812, TN: 1519, FP: 496, FN: 203
[VALID] Epoch 1: Loss: 0.0654, Acc: 88.39, F1: 89.33, Dice: 80.72, Pre: 0.83, Re: 0.97, TP: 603, TN: 493, FP: 127, FN: 17
[TRAIN] Epoch 2: Loss: 0.5445, Acc: 85.66, F1: 86.43, Dice: 76.10, Pre: 0.82, Re: 0.91, TP: 1840, TN: 1612, FP: 403, FN: 175
[VALID] Epoch 2: Loss: 0.0654, Acc: 89.19, F1: 90.15, Dice: 82.06, Pre: 0.83, Re: 0.99, TP: 613, TN: 493, FP: 127, FN: 7
[TRAIN] Epoch 3: Loss: 0.4532, Acc: 87.69, F1: 88.48, Dice: 79.33, Pre: 0.83, Re: 0.94, TP: 1904, TN: 1630, FP: 385, FN: 111
[VALID] Epoch 3: Loss: 0.0654, Acc: 89.35, F1: 90.31, Dice: 82.33, Pre: 0.83, Re: 0.99, TP: 615, TN: 493, FP: 127, FN: 5
[TRAIN] Epoch 4: Loss: 0.3911, Acc: 88.34, F1: 89.16, Dice: 80.43, Pre: 0.83, Re: 0.96, TP: 1932, TN: 1628, FP: 387, FN: 83
[VALID] Epoch 4: Loss: 0.0654, Acc: 89.68, F1: 90.63, Dice: 82.86, Pre: 0.83, Re: 1.00, TP: 619, TN: 493, FP: 127, FN: 1
[TRAIN] Epoch 5: Loss: 0.3425, Acc: 89.21, F1: 89.97, Dice: 81.78, Pre: 0.84, Re: 0.97, TP: 1952, TN: 1643, FP: 372, FN: 63
[VALID] Epoch 5: Loss: 0.0654, Acc: 89.76, F1: 90.71, Dice: 83.00, Pre: 0.83, Re: 1.00, TP: 620, TN: 493, FP: 127, FN: 0
[TRAIN] Epoch 6: Loss: 0.3198, Acc: 89.01, F1: 89.74, Dice: 81.39, Pre: 0.84, Re: 0.96, TP: 1937, TN: 1650, FP: 365, FN: 78
[VALID] Epoch 6: Loss: 0.0654, Acc: 89.44, F1: 90.39, Dice: 82.46, Pre: 0.83, Re: 0.99, TP: 616, TN: 493, FP: 127, FN: 4
[TRAIN] Epoch 7: Loss: 0.2945, Acc: 89.35, F1: 90.03, Dice: 81.87, Pre: 0.85, Re: 0.96, TP: 1937, TN: 1664, FP: 351, FN: 78
[VALID] Epoch 7: Loss: 0.0654, Acc: 89.03, F1: 89.94, Dice: 81.72, Pre: 0.83, Re: 0.98, TP: 608, TN: 496, FP: 124, FN: 12
[TRAIN] Epoch 8: Loss: 0.2725, Acc: 89.73, F1: 90.30, Dice: 82.32, Pre: 0.85, Re: 0.96, TP: 1928, TN: 1688, FP: 327, FN: 87
[VALID] Epoch 8: Loss: 0.0649, Acc: 90.40, F1: 91.10, Dice: 83.65, Pre: 0.85, Re: 0.98, TP: 609, TN: 512, FP: 108, FN: 11
[TRAIN] Epoch 9: Loss: 0.2639, Acc: 90.55, F1: 91.02, Dice: 83.51, Pre: 0.87, Re: 0.96, TP: 1930, TN: 1719, FP: 296, FN: 85
[VALID] Epoch 9: Loss: 0.0654, Acc: 89.68, F1: 90.56, Dice: 82.75, Pre: 0.83, Re: 0.99, TP: 614, TN: 498, FP: 122, FN: 6
[TRAIN] Epoch 10: Loss: 0.2637, Acc: 89.93, F1: 90.40, Dice: 82.48, Pre: 0.86, Re: 0.95, TP: 1912, TN: 1712, FP: 303, FN: 103
[VALID] Epoch 10: Loss: 0.0654, Acc: 90.00, F1: 90.91, Dice: 83.33, Pre: 0.83, Re: 1.00, TP: 620, TN: 496, FP: 124, FN: 0
[TRAIN] Epoch 11: Loss: 0.2405, Acc: 91.29, F1: 91.68, Dice: 84.64, Pre: 0.88, Re: 0.96, TP: 1934, TN: 1745, FP: 270, FN: 81
[VALID] Epoch 11: Loss: 0.0654, Acc: 90.40, F1: 91.22, Dice: 83.85, Pre: 0.84, Re: 1.00, TP: 618, TN: 503, FP: 117, FN: 2
[TRAIN] Epoch 12: Loss: 0.2312, Acc: 91.04, F1: 91.46, Dice: 84.26, Pre: 0.87, Re: 0.96, TP: 1932, TN: 1737, FP: 278, FN: 83
[VALID] Epoch 12: Loss: 0.0649, Acc: 91.13, F1: 91.69, Dice: 84.66, Pre: 0.86, Re: 0.98, TP: 607, TN: 523, FP: 97, FN: 13
[TRAIN] Epoch 13: Loss: 0.2168, Acc: 92.11, F1: 92.49, Dice: 86.02, Pre: 0.88, Re: 0.97, TP: 1957, TN: 1755, FP: 260, FN: 58
[VALID] Epoch 13: Loss: 0.0644, Acc: 91.77, F1: 92.13, Dice: 85.41, Pre: 0.88, Re: 0.96, TP: 597, TN: 541, FP: 79, FN: 23
[TRAIN] Epoch 14: Loss: 0.2111, Acc: 92.01, F1: 92.35, Dice: 85.79, Pre: 0.89, Re: 0.96, TP: 1944, TN: 1764, FP: 251, FN: 71
[VALID] Epoch 14: Loss: 0.0654, Acc: 91.61, F1: 92.17, Dice: 85.47, Pre: 0.86, Re: 0.99, TP: 612, TN: 524, FP: 96, FN: 8
[TRAIN] Epoch 15: Loss: 0.2047, Acc: 92.26, F1: 92.56, Dice: 86.15, Pre: 0.89, Re: 0.96, TP: 1941, TN: 1777, FP: 238, FN: 74
[VALID] Epoch 15: Loss: 0.0649, Acc: 91.85, F1: 92.30, Dice: 85.69, Pre: 0.88, Re: 0.98, TP: 605, TN: 534, FP: 86, FN: 15
[TRAIN] Epoch 16: Loss: 0.1988, Acc: 92.36, F1: 92.64, Dice: 86.29, Pre: 0.89, Re: 0.96, TP: 1938, TN: 1784, FP: 231, FN: 77
[VALID] Epoch 16: Loss: 0.0654, Acc: 91.61, F1: 92.24, Dice: 85.60, Pre: 0.86, Re: 1.00, TP: 618, TN: 518, FP: 102, FN: 2
[TRAIN] Epoch 17: Loss: 0.1975, Acc: 92.46, F1: 92.74, Dice: 86.46, Pre: 0.89, Re: 0.96, TP: 1941, TN: 1785, FP: 230, FN: 74
[VALID] Epoch 17: Loss: 0.0649, Acc: 91.61, F1: 92.19, Dice: 85.52, Pre: 0.86, Re: 0.99, TP: 614, TN: 522, FP: 98, FN: 6
[TRAIN] Epoch 18: Loss: 0.1863, Acc: 92.63, F1: 92.93, Dice: 86.79, Pre: 0.89, Re: 0.97, TP: 1951, TN: 1782, FP: 233, FN: 64
[VALID] Epoch 18: Loss: 0.0649, Acc: 91.61, F1: 92.17, Dice: 85.47, Pre: 0.86, Re: 0.99, TP: 612, TN: 524, FP: 96, FN: 8
[TRAIN] Epoch 19: Loss: 0.1911, Acc: 92.80, F1: 93.05, Dice: 87.01, Pre: 0.90, Re: 0.96, TP: 1942, TN: 1798, FP: 217, FN: 73
[VALID] Epoch 19: Loss: 0.0649, Acc: 91.53, F1: 92.15, Dice: 85.44, Pre: 0.86, Re: 0.99, TP: 616, TN: 519, FP: 101, FN: 4
