
[TRAIN] Epoch 0: Loss: 0.7733, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 2015, FP: 0, FN: 2015
[VALID] Epoch 0: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 1: Loss: 0.7622, Acc: 49.98, F1: 0.10, Dice: 0.05, Pre: 0.33, Re: 0.00, TP: 1, TN: 2013, FP: 2, FN: 2014
[VALID] Epoch 1: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 2: Loss: 0.7598, Acc: 49.98, F1: 0.10, Dice: 0.05, Pre: 0.33, Re: 0.00, TP: 1, TN: 2013, FP: 2, FN: 2014
[VALID] Epoch 2: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 3: Loss: 0.7566, Acc: 49.93, F1: 0.10, Dice: 0.05, Pre: 0.20, Re: 0.00, TP: 1, TN: 2011, FP: 4, FN: 2014
[VALID] Epoch 3: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 4: Loss: 0.7528, Acc: 49.98, F1: 0.10, Dice: 0.05, Pre: 0.33, Re: 0.00, TP: 1, TN: 2013, FP: 2, FN: 2014
[VALID] Epoch 4: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 5: Loss: 0.7478, Acc: 49.98, F1: 0.40, Dice: 0.20, Pre: 0.44, Re: 0.00, TP: 4, TN: 2010, FP: 5, FN: 2011
[VALID] Epoch 5: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 6: Loss: 0.7439, Acc: 49.98, F1: 0.49, Dice: 0.25, Pre: 0.45, Re: 0.00, TP: 5, TN: 2009, FP: 6, FN: 2010
[VALID] Epoch 6: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 7: Loss: 0.7390, Acc: 49.80, F1: 0.30, Dice: 0.15, Pre: 0.21, Re: 0.00, TP: 3, TN: 2004, FP: 11, FN: 2012
[VALID] Epoch 7: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 8: Loss: 0.7381, Acc: 49.78, F1: nan, Dice: 0.00, Pre: 0.00, Re: 0.00, TP: 0, TN: 2006, FP: 9, FN: 2015
