
[TRAIN] Epoch 0: Loss: 0.7637, Acc: 50.89, F1: 21.99, Dice: 12.36, Pre: 0.53, Re: 0.14, TP: 279, TN: 1772, FP: 243, FN: 1736
[VALID] Epoch 0: Loss: 0.0639, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 1: Loss: 0.7290, Acc: 57.49, F1: 38.93, Dice: 24.17, Pre: 0.69, Re: 0.27, TP: 546, TN: 1771, FP: 244, FN: 1469
[VALID] Epoch 1: Loss: 0.0644, Acc: 65.89, F1: 51.88, Dice: 35.02, Pre: 0.88, Re: 0.37, TP: 228, TN: 589, FP: 31, FN: 392
[TRAIN] Epoch 2: Loss: 0.6993, Acc: 65.76, F1: 56.93, Dice: 39.79, Pre: 0.77, Re: 0.45, TP: 912, TN: 1738, FP: 277, FN: 1103
[VALID] Epoch 2: Loss: 0.0649, Acc: 78.79, F1: 77.03, Dice: 62.64, Pre: 0.84, Re: 0.71, TP: 441, TN: 536, FP: 84, FN: 179
[TRAIN] Epoch 3: Loss: 0.6558, Acc: 74.29, F1: 71.09, Dice: 55.15, Pre: 0.81, Re: 0.63, TP: 1274, TN: 1720, FP: 295, FN: 741
[VALID] Epoch 3: Loss: 0.0649, Acc: 85.32, F1: 85.85, Dice: 75.20, Pre: 0.83, Re: 0.89, TP: 552, TN: 506, FP: 114, FN: 68
[TRAIN] Epoch 4: Loss: 0.6202, Acc: 79.16, F1: 78.48, Dice: 64.59, Pre: 0.81, Re: 0.76, TP: 1532, TN: 1658, FP: 357, FN: 483
[VALID] Epoch 4: Loss: 0.0654, Acc: 83.31, F1: 83.89, Dice: 72.25, Pre: 0.81, Re: 0.87, TP: 539, TN: 494, FP: 126, FN: 81
[TRAIN] Epoch 5: Loss: 0.5787, Acc: 82.78, F1: 82.96, Dice: 70.88, Pre: 0.82, Re: 0.84, TP: 1689, TN: 1647, FP: 368, FN: 326
[VALID] Epoch 5: Loss: 0.0654, Acc: 89.19, F1: 90.13, Dice: 82.04, Pre: 0.83, Re: 0.99, TP: 612, TN: 494, FP: 126, FN: 8
[TRAIN] Epoch 6: Loss: 0.5391, Acc: 84.71, F1: 85.21, Dice: 74.23, Pre: 0.83, Re: 0.88, TP: 1774, TN: 1640, FP: 375, FN: 241
[VALID] Epoch 6: Loss: 0.0654, Acc: 89.60, F1: 90.55, Dice: 82.73, Pre: 0.83, Re: 1.00, TP: 618, TN: 493, FP: 127, FN: 2
[TRAIN] Epoch 7: Loss: 0.4904, Acc: 87.22, F1: 87.95, Dice: 78.49, Pre: 0.83, Re: 0.93, TP: 1879, TN: 1636, FP: 379, FN: 136
