
[TRAIN] Epoch 0: Loss: 0.4514, Acc: 79.95, F1: 80.50, Dice: 67.37, Pre: 0.78, Re: 0.83, TP: 1668, TN: 1554, FP: 461, FN: 347
[VALID] Epoch 0: Loss: 0.8190, Acc: 87.74, F1: 88.45, Dice: 79.29, Pre: 0.84, Re: 0.94, TP: 582, TN: 506, FP: 114, FN: 38
[TRAIN] Epoch 1: Loss: 0.3301, Acc: 86.77, F1: 87.42, Dice: 77.65, Pre: 0.83, Re: 0.92, TP: 1852, TN: 1645, FP: 370, FN: 163
[VALID] Epoch 1: Loss: 0.8110, Acc: 90.40, F1: 91.10, Dice: 83.65, Pre: 0.85, Re: 0.98, TP: 609, TN: 512, FP: 108, FN: 11
[TRAIN] Epoch 2: Loss: 0.2870, Acc: 88.29, F1: 88.91, Dice: 80.03, Pre: 0.84, Re: 0.94, TP: 1892, TN: 1666, FP: 349, FN: 123
[VALID] Epoch 2: Loss: 0.8088, Acc: 91.21, F1: 91.84, Dice: 84.90, Pre: 0.86, Re: 0.99, TP: 613, TN: 518, FP: 102, FN: 7
[TRAIN] Epoch 3: Loss: 0.2664, Acc: 88.83, F1: 89.41, Dice: 80.84, Pre: 0.85, Re: 0.94, TP: 1899, TN: 1681, FP: 334, FN: 116
[VALID] Epoch 3: Loss: 0.8046, Acc: 92.58, F1: 93.07, Dice: 87.04, Pre: 0.87, Re: 1.00, TP: 618, TN: 530, FP: 90, FN: 2
[TRAIN] Epoch 4: Loss: 0.2408, Acc: 89.95, F1: 90.40, Dice: 82.48, Pre: 0.87, Re: 0.95, TP: 1907, TN: 1718, FP: 297, FN: 108
[VALID] Epoch 4: Loss: 0.8024, Acc: 93.55, F1: 93.90, Dice: 88.51, Pre: 0.89, Re: 0.99, TP: 616, TN: 544, FP: 76, FN: 4
[TRAIN] Epoch 5: Loss: 0.2302, Acc: 90.55, F1: 91.01, Dice: 83.51, Pre: 0.87, Re: 0.96, TP: 1929, TN: 1720, FP: 295, FN: 86
[VALID] Epoch 5: Loss: 0.8024, Acc: 93.79, F1: 94.00, Dice: 88.68, Pre: 0.91, Re: 0.97, TP: 603, TN: 560, FP: 60, FN: 17
[TRAIN] Epoch 6: Loss: 0.2300, Acc: 90.89, F1: 91.30, Dice: 83.99, Pre: 0.87, Re: 0.96, TP: 1925, TN: 1738, FP: 277, FN: 90
[VALID] Epoch 6: Loss: 0.8045, Acc: 92.90, F1: 93.34, Dice: 87.52, Pre: 0.88, Re: 1.00, TP: 617, TN: 535, FP: 85, FN: 3
[TRAIN] Epoch 7: Loss: 0.2156, Acc: 91.36, F1: 91.77, Dice: 84.79, Pre: 0.88, Re: 0.96, TP: 1940, TN: 1742, FP: 273, FN: 75
[VALID] Epoch 7: Loss: 0.7999, Acc: 94.60, F1: 94.83, Dice: 90.18, Pre: 0.91, Re: 0.99, TP: 615, TN: 558, FP: 62, FN: 5
[TRAIN] Epoch 8: Loss: 0.2125, Acc: 91.24, F1: 91.63, Dice: 84.55, Pre: 0.88, Re: 0.96, TP: 1932, TN: 1745, FP: 270, FN: 83
[VALID] Epoch 8: Loss: 0.8013, Acc: 94.44, F1: 94.44, Dice: 89.47, Pre: 0.94, Re: 0.95, TP: 586, TN: 585, FP: 35, FN: 34
[TRAIN] Epoch 9: Loss: 0.1962, Acc: 91.84, F1: 92.14, Dice: 85.43, Pre: 0.89, Re: 0.96, TP: 1929, TN: 1772, FP: 243, FN: 86
[VALID] Epoch 9: Loss: 0.7999, Acc: 94.92, F1: 95.06, Dice: 90.58, Pre: 0.93, Re: 0.98, TP: 606, TN: 571, FP: 49, FN: 14
[TRAIN] Epoch 10: Loss: 0.1983, Acc: 91.66, F1: 91.97, Dice: 85.13, Pre: 0.89, Re: 0.95, TP: 1923, TN: 1771, FP: 244, FN: 92
[VALID] Epoch 10: Loss: 0.8018, Acc: 94.19, F1: 94.41, Dice: 89.41, Pre: 0.91, Re: 0.98, TP: 608, TN: 560, FP: 60, FN: 12
[TRAIN] Epoch 11: Loss: 0.2032, Acc: 91.71, F1: 92.02, Dice: 85.22, Pre: 0.89, Re: 0.96, TP: 1926, TN: 1770, FP: 245, FN: 89
[VALID] Epoch 11: Loss: 0.8019, Acc: 93.95, F1: 94.28, Dice: 89.18, Pre: 0.89, Re: 1.00, TP: 618, TN: 547, FP: 73, FN: 2
[TRAIN] Epoch 12: Loss: 0.1920, Acc: 92.28, F1: 92.59, Dice: 86.20, Pre: 0.89, Re: 0.96, TP: 1943, TN: 1776, FP: 239, FN: 72
[VALID] Epoch 12: Loss: 0.8003, Acc: 94.52, F1: 94.77, Dice: 90.06, Pre: 0.91, Re: 0.99, TP: 616, TN: 556, FP: 64, FN: 4
[TRAIN] Epoch 13: Loss: 0.1848, Acc: 92.43, F1: 92.67, Dice: 86.34, Pre: 0.90, Re: 0.96, TP: 1927, TN: 1798, FP: 217, FN: 88
[VALID] Epoch 13: Loss: 0.7986, Acc: 95.40, F1: 95.52, Dice: 91.42, Pre: 0.93, Re: 0.98, TP: 607, TN: 576, FP: 44, FN: 13
[TRAIN] Epoch 14: Loss: 0.1771, Acc: 92.73, F1: 92.98, Dice: 86.88, Pre: 0.90, Re: 0.96, TP: 1940, TN: 1797, FP: 218, FN: 75
[VALID] Epoch 14: Loss: 0.7991, Acc: 95.08, F1: 95.20, Dice: 90.84, Pre: 0.93, Re: 0.98, TP: 605, TN: 574, FP: 46, FN: 15
[TRAIN] Epoch 15: Loss: 0.1746, Acc: 92.93, F1: 93.13, Dice: 87.14, Pre: 0.91, Re: 0.96, TP: 1931, TN: 1814, FP: 201, FN: 84
[VALID] Epoch 15: Loss: 0.7993, Acc: 94.84, F1: 95.08, Dice: 90.63, Pre: 0.91, Re: 1.00, TP: 619, TN: 557, FP: 63, FN: 1
[TRAIN] Epoch 16: Loss: 0.1746, Acc: 92.61, F1: 92.88, Dice: 86.70, Pre: 0.90, Re: 0.96, TP: 1943, TN: 1789, FP: 226, FN: 72
[VALID] Epoch 16: Loss: 0.7970, Acc: 95.89, F1: 96.02, Dice: 92.35, Pre: 0.93, Re: 0.99, TP: 616, TN: 573, FP: 47, FN: 4
[TRAIN] Epoch 17: Loss: 0.1704, Acc: 93.13, F1: 93.35, Dice: 87.53, Pre: 0.90, Re: 0.97, TP: 1945, TN: 1808, FP: 207, FN: 70
[VALID] Epoch 17: Loss: 0.8007, Acc: 94.68, F1: 94.72, Dice: 89.97, Pre: 0.94, Re: 0.95, TP: 592, TN: 582, FP: 38, FN: 28
[TRAIN] Epoch 18: Loss: 0.1648, Acc: 93.35, F1: 93.56, Dice: 87.91, Pre: 0.91, Re: 0.97, TP: 1948, TN: 1814, FP: 201, FN: 67
[VALID] Epoch 18: Loss: 0.8002, Acc: 94.76, F1: 94.85, Dice: 90.20, Pre: 0.93, Re: 0.96, TP: 598, TN: 577, FP: 43, FN: 22
[TRAIN] Epoch 19: Loss: 0.1660, Acc: 93.33, F1: 93.54, Dice: 87.86, Pre: 0.91, Re: 0.97, TP: 1946, TN: 1815, FP: 200, FN: 69
[VALID] Epoch 19: Loss: 0.7981, Acc: 95.40, F1: 95.54, Dice: 91.45, Pre: 0.93, Re: 0.98, TP: 610, TN: 573, FP: 47, FN: 10
[TRAIN] Epoch 20: Loss: 0.1516, Acc: 93.87, F1: 94.05, Dice: 88.77, Pre: 0.91, Re: 0.97, TP: 1953, TN: 1830, FP: 185, FN: 62
[VALID] Epoch 20: Loss: 0.7985, Acc: 95.24, F1: 95.38, Dice: 91.17, Pre: 0.93, Re: 0.98, TP: 609, TN: 572, FP: 48, FN: 11
[TRAIN] Epoch 21: Loss: 0.1569, Acc: 93.52, F1: 93.70, Dice: 88.15, Pre: 0.91, Re: 0.96, TP: 1941, TN: 1828, FP: 187, FN: 74
[VALID] Epoch 21: Loss: 0.7990, Acc: 95.00, F1: 95.16, Dice: 90.77, Pre: 0.92, Re: 0.98, TP: 610, TN: 568, FP: 52, FN: 10
[TRAIN] Epoch 22: Loss: 0.1610, Acc: 93.55, F1: 93.72, Dice: 88.19, Pre: 0.91, Re: 0.96, TP: 1941, TN: 1829, FP: 186, FN: 74
[VALID] Epoch 22: Loss: 0.7974, Acc: 95.56, F1: 95.73, Dice: 91.82, Pre: 0.92, Re: 1.00, TP: 617, TN: 568, FP: 52, FN: 3
[TRAIN] Epoch 23: Loss: 0.1553, Acc: 93.40, F1: 93.59, Dice: 87.95, Pre: 0.91, Re: 0.96, TP: 1941, TN: 1823, FP: 192, FN: 74
[VALID] Epoch 23: Loss: 0.7982, Acc: 95.40, F1: 95.47, Dice: 91.34, Pre: 0.94, Re: 0.97, TP: 601, TN: 582, FP: 38, FN: 19
[TRAIN] Epoch 24: Loss: 0.1549, Acc: 93.82, F1: 94.00, Dice: 88.68, Pre: 0.91, Re: 0.97, TP: 1950, TN: 1831, FP: 184, FN: 65
[VALID] Epoch 24: Loss: 0.7976, Acc: 95.56, F1: 95.74, Dice: 91.83, Pre: 0.92, Re: 1.00, TP: 618, TN: 567, FP: 53, FN: 2
[TRAIN] Epoch 25: Loss: 0.1506, Acc: 93.72, F1: 93.89, Dice: 88.48, Pre: 0.91, Re: 0.96, TP: 1944, TN: 1833, FP: 182, FN: 71
