
[TRAIN] Epoch 0: Loss: 0.7516, Acc: 53.65, F1: 55.86, Dice: 38.75, Pre: 0.53, Re: 0.59, TP: 1182, TN: 980, FP: 1035, FN: 833
[VALID] Epoch 0: Loss: 0.8830, Acc: 64.76, F1: 67.12, Dice: 50.51, Pre: 0.63, Re: 0.72, TP: 446, TN: 357, FP: 263, FN: 174
[TRAIN] Epoch 1: Loss: 0.7272, Acc: 57.62, F1: 59.83, Dice: 42.68, Pre: 0.57, Re: 0.63, TP: 1272, TN: 1050, FP: 965, FN: 743
[VALID] Epoch 1: Loss: 0.8585, Acc: 73.79, F1: 74.83, Dice: 59.78, Pre: 0.72, Re: 0.78, TP: 483, TN: 432, FP: 188, FN: 137
[TRAIN] Epoch 2: Loss: 0.7144, Acc: 60.74, F1: 62.01, Dice: 44.94, Pre: 0.60, Re: 0.64, TP: 1291, TN: 1157, FP: 858, FN: 724
[VALID] Epoch 2: Loss: 0.8517, Acc: 76.29, F1: 77.10, Dice: 62.74, Pre: 0.75, Re: 0.80, TP: 495, TN: 451, FP: 169, FN: 125
[TRAIN] Epoch 3: Loss: 0.6975, Acc: 63.95, F1: 64.40, Dice: 47.49, Pre: 0.64, Re: 0.65, TP: 1314, TN: 1263, FP: 752, FN: 701
[VALID] Epoch 3: Loss: 0.8468, Acc: 79.03, F1: 77.97, Dice: 63.89, Pre: 0.82, Re: 0.74, TP: 460, TN: 520, FP: 100, FN: 160
[TRAIN] Epoch 4: Loss: 0.6756, Acc: 69.78, F1: 68.62, Dice: 52.24, Pre: 0.71, Re: 0.66, TP: 1332, TN: 1480, FP: 535, FN: 683
[VALID] Epoch 4: Loss: 0.8449, Acc: 79.68, F1: 78.20, Dice: 64.20, Pre: 0.84, Re: 0.73, TP: 452, TN: 536, FP: 84, FN: 168
[TRAIN] Epoch 5: Loss: 0.6507, Acc: 74.12, F1: 72.49, Dice: 56.85, Pre: 0.77, Re: 0.68, TP: 1374, TN: 1613, FP: 402, FN: 641
[VALID] Epoch 5: Loss: 0.8356, Acc: 82.34, F1: 82.00, Dice: 69.50, Pre: 0.84, Re: 0.80, TP: 499, TN: 522, FP: 98, FN: 121
[TRAIN] Epoch 6: Loss: 0.6217, Acc: 77.22, F1: 75.83, Dice: 61.07, Pre: 0.81, Re: 0.71, TP: 1440, TN: 1672, FP: 343, FN: 575
[VALID] Epoch 6: Loss: 0.8293, Acc: 84.35, F1: 84.48, Dice: 73.13, Pre: 0.84, Re: 0.85, TP: 528, TN: 518, FP: 102, FN: 92
[TRAIN] Epoch 7: Loss: 0.5920, Acc: 79.08, F1: 77.93, Dice: 63.84, Pre: 0.82, Re: 0.74, TP: 1488, TN: 1699, FP: 316, FN: 527
[VALID] Epoch 7: Loss: 0.8262, Acc: 85.40, F1: 85.65, Dice: 74.90, Pre: 0.84, Re: 0.87, TP: 540, TN: 519, FP: 101, FN: 80
[TRAIN] Epoch 8: Loss: 0.5573, Acc: 80.47, F1: 79.76, Dice: 66.34, Pre: 0.83, Re: 0.77, TP: 1551, TN: 1692, FP: 323, FN: 464
[VALID] Epoch 8: Loss: 0.8316, Acc: 83.95, F1: 83.51, Dice: 71.69, Pre: 0.86, Re: 0.81, TP: 504, TN: 537, FP: 83, FN: 116
[TRAIN] Epoch 9: Loss: 0.5320, Acc: 81.14, F1: 80.59, Dice: 67.49, Pre: 0.83, Re: 0.78, TP: 1578, TN: 1692, FP: 323, FN: 437
[VALID] Epoch 9: Loss: 0.8218, Acc: 86.77, F1: 87.25, Dice: 77.38, Pre: 0.84, Re: 0.90, TP: 561, TN: 515, FP: 105, FN: 59
[TRAIN] Epoch 10: Loss: 0.5009, Acc: 83.00, F1: 82.84, Dice: 70.70, Pre: 0.84, Re: 0.82, TP: 1653, TN: 1692, FP: 323, FN: 362
[VALID] Epoch 10: Loss: 0.8224, Acc: 86.61, F1: 87.03, Dice: 77.04, Pre: 0.84, Re: 0.90, TP: 557, TN: 517, FP: 103, FN: 63
[TRAIN] Epoch 11: Loss: 0.4836, Acc: 83.75, F1: 83.80, Dice: 72.12, Pre: 0.84, Re: 0.84, TP: 1694, TN: 1681, FP: 334, FN: 321
[VALID] Epoch 11: Loss: 0.8199, Acc: 87.42, F1: 87.93, Dice: 78.45, Pre: 0.85, Re: 0.92, TP: 568, TN: 516, FP: 104, FN: 52
[TRAIN] Epoch 12: Loss: 0.4623, Acc: 83.67, F1: 83.63, Dice: 71.87, Pre: 0.84, Re: 0.83, TP: 1681, TN: 1691, FP: 324, FN: 334
[VALID] Epoch 12: Loss: 0.8167, Acc: 88.47, F1: 89.01, Dice: 80.19, Pre: 0.85, Re: 0.93, TP: 579, TN: 518, FP: 102, FN: 41
[TRAIN] Epoch 13: Loss: 0.4485, Acc: 84.62, F1: 84.71, Dice: 73.47, Pre: 0.84, Re: 0.85, TP: 1717, TN: 1693, FP: 322, FN: 298
[VALID] Epoch 13: Loss: 0.8185, Acc: 87.98, F1: 88.51, Dice: 79.39, Pre: 0.85, Re: 0.93, TP: 574, TN: 517, FP: 103, FN: 46
[TRAIN] Epoch 14: Loss: 0.4394, Acc: 83.77, F1: 83.85, Dice: 72.19, Pre: 0.83, Re: 0.84, TP: 1698, TN: 1678, FP: 337, FN: 317
[VALID] Epoch 14: Loss: 0.8193, Acc: 87.66, F1: 88.15, Dice: 78.81, Pre: 0.85, Re: 0.92, TP: 569, TN: 518, FP: 102, FN: 51
[TRAIN] Epoch 15: Loss: 0.4142, Acc: 85.29, F1: 85.55, Dice: 74.74, Pre: 0.84, Re: 0.87, TP: 1755, TN: 1682, FP: 333, FN: 260
[VALID] Epoch 15: Loss: 0.8142, Acc: 89.35, F1: 89.89, Dice: 81.64, Pre: 0.86, Re: 0.95, TP: 587, TN: 521, FP: 99, FN: 33
[TRAIN] Epoch 16: Loss: 0.4094, Acc: 85.38, F1: 85.55, Dice: 74.74, Pre: 0.85, Re: 0.87, TP: 1743, TN: 1698, FP: 317, FN: 272
[VALID] Epoch 16: Loss: 0.8158, Acc: 88.79, F1: 89.33, Dice: 80.72, Pre: 0.85, Re: 0.94, TP: 582, TN: 519, FP: 101, FN: 38
[TRAIN] Epoch 17: Loss: 0.3974, Acc: 85.48, F1: 85.73, Dice: 75.02, Pre: 0.84, Re: 0.87, TP: 1757, TN: 1688, FP: 327, FN: 258
[VALID] Epoch 17: Loss: 0.8129, Acc: 89.84, F1: 90.45, Dice: 82.57, Pre: 0.85, Re: 0.96, TP: 597, TN: 517, FP: 103, FN: 23
[TRAIN] Epoch 18: Loss: 0.3865, Acc: 85.68, F1: 86.04, Dice: 75.50, Pre: 0.84, Re: 0.88, TP: 1778, TN: 1675, FP: 340, FN: 237
[VALID] Epoch 18: Loss: 0.8129, Acc: 89.92, F1: 90.36, Dice: 82.42, Pre: 0.87, Re: 0.95, TP: 586, TN: 529, FP: 91, FN: 34
[TRAIN] Epoch 19: Loss: 0.3790, Acc: 86.53, F1: 86.70, Dice: 76.52, Pre: 0.86, Re: 0.88, TP: 1770, TN: 1717, FP: 298, FN: 245
[VALID] Epoch 19: Loss: 0.8123, Acc: 90.00, F1: 90.55, Dice: 82.73, Pre: 0.86, Re: 0.96, TP: 594, TN: 522, FP: 98, FN: 26
[TRAIN] Epoch 20: Loss: 0.3733, Acc: 86.33, F1: 86.60, Dice: 76.36, Pre: 0.85, Re: 0.88, TP: 1780, TN: 1699, FP: 316, FN: 235
[VALID] Epoch 20: Loss: 0.8115, Acc: 90.40, F1: 90.87, Dice: 83.26, Pre: 0.87, Re: 0.95, TP: 592, TN: 529, FP: 91, FN: 28
[TRAIN] Epoch 21: Loss: 0.3511, Acc: 87.57, F1: 87.83, Dice: 78.29, Pre: 0.86, Re: 0.90, TP: 1807, TN: 1722, FP: 293, FN: 208
[VALID] Epoch 21: Loss: 0.8097, Acc: 90.81, F1: 91.34, Dice: 84.06, Pre: 0.86, Re: 0.97, TP: 601, TN: 525, FP: 95, FN: 19
[TRAIN] Epoch 22: Loss: 0.3446, Acc: 87.62, F1: 87.95, Dice: 78.49, Pre: 0.86, Re: 0.90, TP: 1821, TN: 1710, FP: 305, FN: 194
[VALID] Epoch 22: Loss: 0.8091, Acc: 91.13, F1: 91.65, Dice: 84.59, Pre: 0.87, Re: 0.97, TP: 604, TN: 526, FP: 94, FN: 16
[TRAIN] Epoch 23: Loss: 0.3411, Acc: 87.97, F1: 88.35, Dice: 79.13, Pre: 0.86, Re: 0.91, TP: 1839, TN: 1706, FP: 309, FN: 176
[VALID] Epoch 23: Loss: 0.8074, Acc: 91.77, F1: 92.18, Dice: 85.49, Pre: 0.88, Re: 0.97, TP: 601, TN: 537, FP: 83, FN: 19
[TRAIN] Epoch 24: Loss: 0.3289, Acc: 89.01, F1: 89.35, Dice: 80.75, Pre: 0.87, Re: 0.92, TP: 1858, TN: 1729, FP: 286, FN: 157
[VALID] Epoch 24: Loss: 0.8093, Acc: 91.13, F1: 91.54, Dice: 84.40, Pre: 0.88, Re: 0.96, TP: 595, TN: 535, FP: 85, FN: 25
[TRAIN] Epoch 25: Loss: 0.3257, Acc: 88.66, F1: 89.06, Dice: 80.28, Pre: 0.86, Re: 0.92, TP: 1861, TN: 1712, FP: 303, FN: 154
[VALID] Epoch 25: Loss: 0.8073, Acc: 91.85, F1: 92.22, Dice: 85.57, Pre: 0.88, Re: 0.97, TP: 599, TN: 540, FP: 80, FN: 21
[TRAIN] Epoch 26: Loss: 0.3176, Acc: 88.83, F1: 89.20, Dice: 80.50, Pre: 0.86, Re: 0.92, TP: 1858, TN: 1722, FP: 293, FN: 157
[VALID] Epoch 26: Loss: 0.8051, Acc: 92.66, F1: 92.98, Dice: 86.89, Pre: 0.89, Re: 0.97, TP: 603, TN: 546, FP: 74, FN: 17
[TRAIN] Epoch 27: Loss: 0.3155, Acc: 88.61, F1: 89.02, Dice: 80.21, Pre: 0.86, Re: 0.92, TP: 1860, TN: 1711, FP: 304, FN: 155
[VALID] Epoch 27: Loss: 0.8072, Acc: 92.02, F1: 92.30, Dice: 85.69, Pre: 0.89, Re: 0.96, TP: 593, TN: 548, FP: 72, FN: 27
[TRAIN] Epoch 28: Loss: 0.3000, Acc: 89.43, F1: 89.73, Dice: 81.37, Pre: 0.87, Re: 0.92, TP: 1861, TN: 1743, FP: 272, FN: 154
[VALID] Epoch 28: Loss: 0.8056, Acc: 92.50, F1: 92.83, Dice: 86.62, Pre: 0.89, Re: 0.97, TP: 602, TN: 545, FP: 75, FN: 18
[TRAIN] Epoch 29: Loss: 0.2970, Acc: 89.85, F1: 90.17, Dice: 82.10, Pre: 0.87, Re: 0.93, TP: 1876, TN: 1745, FP: 270, FN: 139
