
[TRAIN] Epoch 0: Loss: 0.7787, Acc: 50.50, F1: 18.40, Dice: 10.14, Pre: 0.52, Re: 0.11, TP: 225, TN: 1810, FP: 205, FN: 1790
[VALID] Epoch 0: Loss: 0.9483, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 1: Loss: 0.7561, Acc: 53.45, F1: 32.27, Dice: 19.24, Pre: 0.59, Re: 0.22, TP: 447, TN: 1707, FP: 308, FN: 1568
[VALID] Epoch 1: Loss: 0.9377, Acc: 52.98, F1: 12.07, Dice: 6.42, Pre: 0.93, Re: 0.06, TP: 40, TN: 617, FP: 3, FN: 580
[TRAIN] Epoch 2: Loss: 0.7246, Acc: 61.04, F1: 47.63, Dice: 31.26, Pre: 0.73, Re: 0.35, TP: 714, TN: 1746, FP: 269, FN: 1301
[VALID] Epoch 2: Loss: 0.8472, Acc: 79.19, F1: 76.88, Dice: 62.45, Pre: 0.86, Re: 0.69, TP: 429, TN: 553, FP: 67, FN: 191
[TRAIN] Epoch 3: Loss: 0.7008, Acc: 68.01, F1: 62.43, Dice: 45.38, Pre: 0.76, Re: 0.53, TP: 1071, TN: 1670, FP: 345, FN: 944
[VALID] Epoch 3: Loss: 0.8264, Acc: 85.65, F1: 85.48, Dice: 74.64, Pre: 0.86, Re: 0.85, TP: 524, TN: 538, FP: 82, FN: 96
[TRAIN] Epoch 4: Loss: 0.6789, Acc: 73.40, F1: 70.37, Dice: 54.29, Pre: 0.79, Re: 0.63, TP: 1273, TN: 1685, FP: 330, FN: 742
[VALID] Epoch 4: Loss: 0.8348, Acc: 83.23, F1: 82.07, Dice: 69.59, Pre: 0.88, Re: 0.77, TP: 476, TN: 556, FP: 64, FN: 144
[TRAIN] Epoch 5: Loss: 0.6577, Acc: 76.53, F1: 74.84, Dice: 59.80, Pre: 0.81, Re: 0.70, TP: 1407, TN: 1677, FP: 338, FN: 608
[VALID] Epoch 5: Loss: 0.8236, Acc: 86.53, F1: 86.50, Dice: 76.21, Pre: 0.87, Re: 0.86, TP: 535, TN: 538, FP: 82, FN: 85
[TRAIN] Epoch 6: Loss: 0.6314, Acc: 80.84, F1: 80.44, Dice: 67.27, Pre: 0.82, Re: 0.79, TP: 1587, TN: 1671, FP: 344, FN: 428
[VALID] Epoch 6: Loss: 0.8150, Acc: 89.19, F1: 89.64, Dice: 81.23, Pre: 0.86, Re: 0.94, TP: 580, TN: 526, FP: 94, FN: 40
[TRAIN] Epoch 7: Loss: 0.6032, Acc: 82.73, F1: 82.98, Dice: 70.92, Pre: 0.82, Re: 0.84, TP: 1697, TN: 1637, FP: 378, FN: 318
[VALID] Epoch 7: Loss: 0.8114, Acc: 90.40, F1: 90.98, Dice: 83.45, Pre: 0.86, Re: 0.97, TP: 600, TN: 521, FP: 99, FN: 20
[TRAIN] Epoch 8: Loss: 0.5709, Acc: 85.26, F1: 85.69, Dice: 74.97, Pre: 0.83, Re: 0.88, TP: 1779, TN: 1657, FP: 358, FN: 236
[VALID] Epoch 8: Loss: 0.8103, Acc: 90.65, F1: 91.25, Dice: 83.91, Pre: 0.86, Re: 0.98, TP: 605, TN: 519, FP: 101, FN: 15
[TRAIN] Epoch 9: Loss: 0.5503, Acc: 85.76, F1: 86.38, Dice: 76.02, Pre: 0.83, Re: 0.90, TP: 1820, TN: 1636, FP: 379, FN: 195
[VALID] Epoch 9: Loss: 0.8093, Acc: 91.05, F1: 91.67, Dice: 84.63, Pre: 0.86, Re: 0.99, TP: 611, TN: 518, FP: 102, FN: 9
[TRAIN] Epoch 10: Loss: 0.5307, Acc: 85.83, F1: 86.36, Dice: 75.99, Pre: 0.83, Re: 0.90, TP: 1807, TN: 1652, FP: 363, FN: 208
[VALID] Epoch 10: Loss: 0.8107, Acc: 90.65, F1: 91.21, Dice: 83.84, Pre: 0.86, Re: 0.97, TP: 602, TN: 522, FP: 98, FN: 18
[TRAIN] Epoch 11: Loss: 0.5123, Acc: 86.67, F1: 87.28, Dice: 77.44, Pre: 0.83, Re: 0.91, TP: 1843, TN: 1650, FP: 365, FN: 172
[VALID] Epoch 11: Loss: 0.8081, Acc: 91.37, F1: 92.03, Dice: 85.24, Pre: 0.85, Re: 1.00, TP: 618, TN: 515, FP: 105, FN: 2
[TRAIN] Epoch 12: Loss: 0.4988, Acc: 86.60, F1: 87.14, Dice: 77.21, Pre: 0.84, Re: 0.91, TP: 1829, TN: 1661, FP: 354, FN: 186
[VALID] Epoch 12: Loss: 0.8078, Acc: 91.45, F1: 92.07, Dice: 85.30, Pre: 0.86, Re: 0.99, TP: 615, TN: 519, FP: 101, FN: 5
[TRAIN] Epoch 13: Loss: 0.4859, Acc: 86.97, F1: 87.54, Dice: 77.85, Pre: 0.84, Re: 0.92, TP: 1845, TN: 1660, FP: 355, FN: 170
[VALID] Epoch 13: Loss: 0.8090, Acc: 91.05, F1: 91.73, Dice: 84.73, Pre: 0.85, Re: 0.99, TP: 616, TN: 513, FP: 107, FN: 4
[TRAIN] Epoch 14: Loss: 0.4651, Acc: 87.87, F1: 88.36, Dice: 79.15, Pre: 0.85, Re: 0.92, TP: 1856, TN: 1685, FP: 330, FN: 159
[VALID] Epoch 14: Loss: 0.8079, Acc: 91.45, F1: 92.10, Dice: 85.36, Pre: 0.86, Re: 1.00, TP: 618, TN: 516, FP: 104, FN: 2
[TRAIN] Epoch 15: Loss: 0.4475, Acc: 88.26, F1: 88.73, Dice: 79.74, Pre: 0.85, Re: 0.92, TP: 1862, TN: 1695, FP: 320, FN: 153
[VALID] Epoch 15: Loss: 0.8092, Acc: 91.13, F1: 91.73, Dice: 84.72, Pre: 0.86, Re: 0.98, TP: 610, TN: 520, FP: 100, FN: 10
[TRAIN] Epoch 16: Loss: 0.4364, Acc: 87.94, F1: 88.42, Dice: 79.24, Pre: 0.85, Re: 0.92, TP: 1855, TN: 1689, FP: 326, FN: 160
[VALID] Epoch 16: Loss: 0.8079, Acc: 91.45, F1: 92.11, Dice: 85.38, Pre: 0.85, Re: 1.00, TP: 619, TN: 515, FP: 105, FN: 1
[TRAIN] Epoch 17: Loss: 0.4214, Acc: 88.41, F1: 88.88, Dice: 79.98, Pre: 0.85, Re: 0.93, TP: 1866, TN: 1697, FP: 318, FN: 149
[VALID] Epoch 17: Loss: 0.8088, Acc: 91.13, F1: 91.80, Dice: 84.85, Pre: 0.85, Re: 0.99, TP: 616, TN: 514, FP: 106, FN: 4
[TRAIN] Epoch 18: Loss: 0.4130, Acc: 88.76, F1: 89.27, Dice: 80.62, Pre: 0.85, Re: 0.93, TP: 1884, TN: 1693, FP: 322, FN: 131
[VALID] Epoch 18: Loss: 0.8093, Acc: 90.97, F1: 91.63, Dice: 84.55, Pre: 0.85, Re: 0.99, TP: 613, TN: 515, FP: 105, FN: 7
[TRAIN] Epoch 19: Loss: 0.3987, Acc: 89.16, F1: 89.64, Dice: 81.22, Pre: 0.86, Re: 0.94, TP: 1890, TN: 1703, FP: 312, FN: 125
