
[TRAIN] Epoch 0: Loss: 0.7392, Acc: 56.33, F1: 62.99, Dice: 45.98, Pre: 0.55, Re: 0.74, TP: 1498, TN: 772, FP: 1243, FN: 517
[VALID] Epoch 0: Loss: 0.8288, Acc: 84.44, F1: 85.48, Dice: 74.64, Pre: 0.80, Re: 0.92, TP: 568, TN: 479, FP: 141, FN: 52
[TRAIN] Epoch 1: Loss: 0.6814, Acc: 74.62, F1: 75.18, Dice: 60.23, Pre: 0.74, Re: 0.77, TP: 1549, TN: 1458, FP: 557, FN: 466
[VALID] Epoch 1: Loss: 0.8172, Acc: 88.71, F1: 89.51, Dice: 81.00, Pre: 0.84, Re: 0.96, TP: 597, TN: 503, FP: 117, FN: 23
[TRAIN] Epoch 2: Loss: 0.6075, Acc: 82.80, F1: 83.00, Dice: 70.94, Pre: 0.82, Re: 0.84, TP: 1692, TN: 1645, FP: 370, FN: 323
[VALID] Epoch 2: Loss: 0.8232, Acc: 86.77, F1: 87.29, Dice: 77.44, Pre: 0.84, Re: 0.91, TP: 563, TN: 513, FP: 107, FN: 57
[TRAIN] Epoch 3: Loss: 0.5425, Acc: 86.00, F1: 86.44, Dice: 76.12, Pre: 0.84, Re: 0.89, TP: 1798, TN: 1668, FP: 347, FN: 217
[VALID] Epoch 3: Loss: 0.8118, Acc: 90.32, F1: 91.10, Dice: 83.65, Pre: 0.84, Re: 0.99, TP: 614, TN: 506, FP: 114, FN: 6
[TRAIN] Epoch 4: Loss: 0.4867, Acc: 87.49, F1: 88.07, Dice: 78.69, Pre: 0.84, Re: 0.92, TP: 1861, TN: 1665, FP: 350, FN: 154
[VALID] Epoch 4: Loss: 0.8115, Acc: 90.48, F1: 91.22, Dice: 83.86, Pre: 0.85, Re: 0.99, TP: 613, TN: 509, FP: 111, FN: 7
[TRAIN] Epoch 5: Loss: 0.4340, Acc: 88.04, F1: 88.64, Dice: 79.60, Pre: 0.84, Re: 0.93, TP: 1881, TN: 1667, FP: 348, FN: 134
[VALID] Epoch 5: Loss: 0.8132, Acc: 89.92, F1: 90.64, Dice: 82.88, Pre: 0.85, Re: 0.98, TP: 605, TN: 510, FP: 110, FN: 15
[TRAIN] Epoch 6: Loss: 0.3803, Acc: 88.91, F1: 89.47, Dice: 80.95, Pre: 0.85, Re: 0.94, TP: 1899, TN: 1684, FP: 331, FN: 116
[VALID] Epoch 6: Loss: 0.8107, Acc: 90.73, F1: 91.48, Dice: 84.29, Pre: 0.85, Re: 1.00, TP: 617, TN: 508, FP: 112, FN: 3
[TRAIN] Epoch 7: Loss: 0.3536, Acc: 89.16, F1: 89.73, Dice: 81.38, Pre: 0.85, Re: 0.95, TP: 1910, TN: 1683, FP: 332, FN: 105
[VALID] Epoch 7: Loss: 0.8107, Acc: 90.73, F1: 91.46, Dice: 84.27, Pre: 0.85, Re: 0.99, TP: 616, TN: 509, FP: 111, FN: 4
[TRAIN] Epoch 8: Loss: 0.3200, Acc: 89.83, F1: 90.40, Dice: 82.48, Pre: 0.86, Re: 0.96, TP: 1930, TN: 1690, FP: 325, FN: 85
[VALID] Epoch 8: Loss: 0.8108, Acc: 90.73, F1: 91.45, Dice: 84.25, Pre: 0.85, Re: 0.99, TP: 615, TN: 510, FP: 110, FN: 5
[TRAIN] Epoch 9: Loss: 0.3043, Acc: 90.45, F1: 90.96, Dice: 83.42, Pre: 0.86, Re: 0.96, TP: 1937, TN: 1708, FP: 307, FN: 78
[VALID] Epoch 9: Loss: 0.8111, Acc: 90.73, F1: 91.39, Dice: 84.14, Pre: 0.85, Re: 0.98, TP: 610, TN: 515, FP: 105, FN: 10
[TRAIN] Epoch 10: Loss: 0.2833, Acc: 90.52, F1: 91.00, Dice: 83.49, Pre: 0.87, Re: 0.96, TP: 1932, TN: 1716, FP: 299, FN: 83
[VALID] Epoch 10: Loss: 0.8095, Acc: 91.21, F1: 91.90, Dice: 85.01, Pre: 0.85, Re: 1.00, TP: 618, TN: 513, FP: 107, FN: 2
[TRAIN] Epoch 11: Loss: 0.2691, Acc: 91.04, F1: 91.47, Dice: 84.28, Pre: 0.87, Re: 0.96, TP: 1936, TN: 1733, FP: 282, FN: 79
[VALID] Epoch 11: Loss: 0.8110, Acc: 90.81, F1: 91.42, Dice: 84.19, Pre: 0.86, Re: 0.98, TP: 607, TN: 519, FP: 101, FN: 13
[TRAIN] Epoch 12: Loss: 0.2580, Acc: 90.92, F1: 91.35, Dice: 84.07, Pre: 0.87, Re: 0.96, TP: 1932, TN: 1732, FP: 283, FN: 83
[VALID] Epoch 12: Loss: 0.8098, Acc: 91.13, F1: 91.82, Dice: 84.87, Pre: 0.85, Re: 1.00, TP: 617, TN: 513, FP: 107, FN: 3
[TRAIN] Epoch 13: Loss: 0.2482, Acc: 91.17, F1: 91.59, Dice: 84.49, Pre: 0.87, Re: 0.96, TP: 1939, TN: 1735, FP: 280, FN: 76
[VALID] Epoch 13: Loss: 0.8094, Acc: 91.37, F1: 91.97, Dice: 85.14, Pre: 0.86, Re: 0.99, TP: 613, TN: 520, FP: 100, FN: 7
[TRAIN] Epoch 14: Loss: 0.2283, Acc: 91.79, F1: 92.14, Dice: 85.42, Pre: 0.88, Re: 0.96, TP: 1940, TN: 1759, FP: 256, FN: 75
[VALID] Epoch 14: Loss: 0.8096, Acc: 91.21, F1: 91.86, Dice: 84.94, Pre: 0.86, Re: 0.99, TP: 615, TN: 516, FP: 104, FN: 5
[TRAIN] Epoch 15: Loss: 0.2263, Acc: 92.11, F1: 92.45, Dice: 85.96, Pre: 0.89, Re: 0.97, TP: 1947, TN: 1765, FP: 250, FN: 68
[VALID] Epoch 15: Loss: 0.8089, Acc: 91.53, F1: 92.13, Dice: 85.42, Pre: 0.86, Re: 0.99, TP: 615, TN: 520, FP: 100, FN: 5
[TRAIN] Epoch 16: Loss: 0.2190, Acc: 92.53, F1: 92.87, Dice: 86.69, Pre: 0.89, Re: 0.97, TP: 1961, TN: 1768, FP: 247, FN: 54
[VALID] Epoch 16: Loss: 0.8055, Acc: 92.90, F1: 93.31, Dice: 87.46, Pre: 0.88, Re: 0.99, TP: 614, TN: 538, FP: 82, FN: 6
[TRAIN] Epoch 17: Loss: 0.2167, Acc: 92.23, F1: 92.54, Dice: 86.11, Pre: 0.89, Re: 0.96, TP: 1940, TN: 1777, FP: 238, FN: 75
[VALID] Epoch 17: Loss: 0.8072, Acc: 92.10, F1: 92.66, Dice: 86.33, Pre: 0.86, Re: 1.00, TP: 619, TN: 523, FP: 97, FN: 1
[TRAIN] Epoch 18: Loss: 0.2011, Acc: 92.83, F1: 93.11, Dice: 87.12, Pre: 0.90, Re: 0.97, TP: 1954, TN: 1787, FP: 228, FN: 61
[VALID] Epoch 18: Loss: 0.8085, Acc: 91.61, F1: 92.24, Dice: 85.60, Pre: 0.86, Re: 1.00, TP: 618, TN: 518, FP: 102, FN: 2
[TRAIN] Epoch 19: Loss: 0.1998, Acc: 92.53, F1: 92.85, Dice: 86.65, Pre: 0.89, Re: 0.97, TP: 1953, TN: 1776, FP: 239, FN: 62
[VALID] Epoch 19: Loss: 0.8049, Acc: 93.06, F1: 93.42, Dice: 87.64, Pre: 0.89, Re: 0.98, TP: 610, TN: 544, FP: 76, FN: 10
[TRAIN] Epoch 20: Loss: 0.1916, Acc: 92.80, F1: 93.10, Dice: 87.09, Pre: 0.89, Re: 0.97, TP: 1956, TN: 1784, FP: 231, FN: 59
[VALID] Epoch 20: Loss: 0.8047, Acc: 92.98, F1: 93.38, Dice: 87.59, Pre: 0.88, Re: 0.99, TP: 614, TN: 539, FP: 81, FN: 6
[TRAIN] Epoch 21: Loss: 0.1876, Acc: 92.85, F1: 93.14, Dice: 87.16, Pre: 0.90, Re: 0.97, TP: 1955, TN: 1787, FP: 228, FN: 60
[VALID] Epoch 21: Loss: 0.8089, Acc: 91.45, F1: 92.10, Dice: 85.36, Pre: 0.86, Re: 1.00, TP: 618, TN: 516, FP: 104, FN: 2
[TRAIN] Epoch 22: Loss: 0.1830, Acc: 93.03, F1: 93.26, Dice: 87.38, Pre: 0.90, Re: 0.97, TP: 1945, TN: 1804, FP: 211, FN: 70
[VALID] Epoch 22: Loss: 0.8033, Acc: 93.55, F1: 93.87, Dice: 88.46, Pre: 0.89, Re: 0.99, TP: 613, TN: 547, FP: 73, FN: 7
[TRAIN] Epoch 23: Loss: 0.1774, Acc: 93.03, F1: 93.29, Dice: 87.43, Pre: 0.90, Re: 0.97, TP: 1954, TN: 1795, FP: 220, FN: 61
[VALID] Epoch 23: Loss: 0.8038, Acc: 93.39, F1: 93.70, Dice: 88.15, Pre: 0.89, Re: 0.98, TP: 610, TN: 548, FP: 72, FN: 10
[TRAIN] Epoch 24: Loss: 0.1791, Acc: 93.08, F1: 93.33, Dice: 87.49, Pre: 0.90, Re: 0.97, TP: 1951, TN: 1800, FP: 215, FN: 64
[VALID] Epoch 24: Loss: 0.8036, Acc: 93.55, F1: 93.74, Dice: 88.22, Pre: 0.91, Re: 0.97, TP: 599, TN: 561, FP: 59, FN: 21
[TRAIN] Epoch 25: Loss: 0.1715, Acc: 93.40, F1: 93.66, Dice: 88.07, Pre: 0.90, Re: 0.97, TP: 1964, TN: 1800, FP: 215, FN: 51
[VALID] Epoch 25: Loss: 0.8043, Acc: 93.31, F1: 93.70, Dice: 88.14, Pre: 0.89, Re: 1.00, TP: 617, TN: 540, FP: 80, FN: 3
[TRAIN] Epoch 26: Loss: 0.1715, Acc: 93.45, F1: 93.70, Dice: 88.15, Pre: 0.90, Re: 0.97, TP: 1964, TN: 1802, FP: 213, FN: 51
[VALID] Epoch 26: Loss: 0.8029, Acc: 93.71, F1: 94.02, Dice: 88.71, Pre: 0.90, Re: 0.99, TP: 613, TN: 549, FP: 71, FN: 7
[TRAIN] Epoch 27: Loss: 0.1699, Acc: 93.37, F1: 93.60, Dice: 87.97, Pre: 0.91, Re: 0.97, TP: 1953, TN: 1810, FP: 205, FN: 62
[VALID] Epoch 27: Loss: 0.8042, Acc: 93.23, F1: 93.65, Dice: 88.05, Pre: 0.88, Re: 1.00, TP: 619, TN: 537, FP: 83, FN: 1
[TRAIN] Epoch 28: Loss: 0.1637, Acc: 93.65, F1: 93.88, Dice: 88.46, Pre: 0.91, Re: 0.97, TP: 1963, TN: 1811, FP: 204, FN: 52
[VALID] Epoch 28: Loss: 0.8027, Acc: 93.71, F1: 94.06, Dice: 88.79, Pre: 0.89, Re: 1.00, TP: 618, TN: 544, FP: 76, FN: 2
[TRAIN] Epoch 29: Loss: 0.1605, Acc: 93.60, F1: 93.80, Dice: 88.33, Pre: 0.91, Re: 0.97, TP: 1952, TN: 1820, FP: 195, FN: 63
[VALID] Epoch 29: Loss: 0.8019, Acc: 94.19, F1: 94.44, Dice: 89.46, Pre: 0.91, Re: 0.99, TP: 611, TN: 557, FP: 63, FN: 9
[TRAIN] Epoch 30: Loss: 0.1598, Acc: 93.85, F1: 94.08, Dice: 88.82, Pre: 0.91, Re: 0.98, TP: 1970, TN: 1812, FP: 203, FN: 45
[VALID] Epoch 30: Loss: 0.7996, Acc: 95.00, F1: 95.13, Dice: 90.72, Pre: 0.93, Re: 0.98, TP: 606, TN: 572, FP: 48, FN: 14
[TRAIN] Epoch 31: Loss: 0.1620, Acc: 93.50, F1: 93.70, Dice: 88.16, Pre: 0.91, Re: 0.97, TP: 1950, TN: 1818, FP: 197, FN: 65
[VALID] Epoch 31: Loss: 0.8071, Acc: 92.10, F1: 92.62, Dice: 86.26, Pre: 0.87, Re: 0.99, TP: 615, TN: 527, FP: 93, FN: 5
[TRAIN] Epoch 32: Loss: 0.1550, Acc: 93.85, F1: 94.03, Dice: 88.74, Pre: 0.91, Re: 0.97, TP: 1954, TN: 1828, FP: 187, FN: 61
[VALID] Epoch 32: Loss: 0.8008, Acc: 94.35, F1: 94.63, Dice: 89.81, Pre: 0.90, Re: 1.00, TP: 617, TN: 553, FP: 67, FN: 3
[TRAIN] Epoch 33: Loss: 0.1461, Acc: 94.44, F1: 94.60, Dice: 89.75, Pre: 0.92, Re: 0.97, TP: 1961, TN: 1845, FP: 170, FN: 54
[VALID] Epoch 33: Loss: 0.8012, Acc: 94.11, F1: 94.43, Dice: 89.45, Pre: 0.90, Re: 1.00, TP: 619, TN: 548, FP: 72, FN: 1
[TRAIN] Epoch 34: Loss: 0.1447, Acc: 94.29, F1: 94.43, Dice: 89.45, Pre: 0.92, Re: 0.97, TP: 1950, TN: 1850, FP: 165, FN: 65
[VALID] Epoch 34: Loss: 0.8034, Acc: 93.47, F1: 93.82, Dice: 88.36, Pre: 0.89, Re: 0.99, TP: 615, TN: 544, FP: 76, FN: 5
[TRAIN] Epoch 35: Loss: 0.1560, Acc: 93.75, F1: 93.93, Dice: 88.56, Pre: 0.91, Re: 0.97, TP: 1951, TN: 1827, FP: 188, FN: 64
[VALID] Epoch 35: Loss: 0.8008, Acc: 94.68, F1: 94.79, Dice: 90.09, Pre: 0.93, Re: 0.97, TP: 600, TN: 574, FP: 46, FN: 20
[TRAIN] Epoch 36: Loss: 0.1483, Acc: 94.42, F1: 94.57, Dice: 89.71, Pre: 0.92, Re: 0.97, TP: 1961, TN: 1844, FP: 171, FN: 54
[VALID] Epoch 36: Loss: 0.8000, Acc: 94.84, F1: 95.00, Dice: 90.48, Pre: 0.92, Re: 0.98, TP: 608, TN: 568, FP: 52, FN: 12
[TRAIN] Epoch 37: Loss: 0.1397, Acc: 94.52, F1: 94.65, Dice: 89.84, Pre: 0.92, Re: 0.97, TP: 1954, TN: 1855, FP: 160, FN: 61
[VALID] Epoch 37: Loss: 0.8003, Acc: 94.84, F1: 94.98, Dice: 90.43, Pre: 0.93, Re: 0.98, TP: 605, TN: 571, FP: 49, FN: 15
[TRAIN] Epoch 38: Loss: 0.1428, Acc: 94.29, F1: 94.46, Dice: 89.51, Pre: 0.92, Re: 0.97, TP: 1962, TN: 1838, FP: 177, FN: 53
[VALID] Epoch 38: Loss: 0.8009, Acc: 94.60, F1: 94.75, Dice: 90.03, Pre: 0.92, Re: 0.98, TP: 605, TN: 568, FP: 52, FN: 15
[TRAIN] Epoch 39: Loss: 0.1400, Acc: 94.24, F1: 94.39, Dice: 89.37, Pre: 0.92, Re: 0.97, TP: 1951, TN: 1847, FP: 168, FN: 64
[VALID] Epoch 39: Loss: 0.8001, Acc: 94.76, F1: 94.95, Dice: 90.38, Pre: 0.92, Re: 0.99, TP: 611, TN: 564, FP: 56, FN: 9
[TRAIN] Epoch 40: Loss: 0.1351, Acc: 94.42, F1: 94.56, Dice: 89.68, Pre: 0.92, Re: 0.97, TP: 1956, TN: 1849, FP: 166, FN: 59
[VALID] Epoch 40: Loss: 0.8029, Acc: 93.87, F1: 94.04, Dice: 88.76, Pre: 0.91, Re: 0.97, TP: 600, TN: 564, FP: 56, FN: 20
[TRAIN] Epoch 41: Loss: 0.1360, Acc: 94.71, F1: 94.87, Dice: 90.25, Pre: 0.92, Re: 0.98, TP: 1971, TN: 1846, FP: 169, FN: 44
[VALID] Epoch 41: Loss: 0.8011, Acc: 94.52, F1: 94.68, Dice: 89.90, Pre: 0.92, Re: 0.98, TP: 605, TN: 567, FP: 53, FN: 15
