
[TRAIN] Epoch 0: Loss: 0.7389, Acc: 52.80, F1: 59.36, Dice: 42.21, Pre: 0.52, Re: 0.69, TP: 1389, TN: 739, FP: 1276, FN: 626
[VALID] Epoch 0: Loss: 0.8367, Acc: 82.26, F1: 82.40, Dice: 70.07, Pre: 0.82, Re: 0.83, TP: 515, TN: 505, FP: 115, FN: 105
[TRAIN] Epoch 1: Loss: 0.6525, Acc: 76.35, F1: 76.15, Dice: 61.48, Pre: 0.77, Re: 0.75, TP: 1521, TN: 1556, FP: 459, FN: 494
[VALID] Epoch 1: Loss: 0.8270, Acc: 85.40, F1: 85.85, Dice: 75.21, Pre: 0.83, Re: 0.89, TP: 549, TN: 510, FP: 110, FN: 71
[TRAIN] Epoch 2: Loss: 0.4817, Acc: 86.45, F1: 87.30, Dice: 77.46, Pre: 0.82, Re: 0.93, TP: 1876, TN: 1608, FP: 407, FN: 139
[VALID] Epoch 2: Loss: 0.8110, Acc: 90.56, F1: 91.38, Dice: 84.12, Pre: 0.84, Re: 1.00, TP: 620, TN: 503, FP: 117, FN: 0
[TRAIN] Epoch 3: Loss: 0.3625, Acc: 88.93, F1: 89.84, Dice: 81.55, Pre: 0.83, Re: 0.98, TP: 1971, TN: 1613, FP: 402, FN: 44
[VALID] Epoch 3: Loss: 0.8100, Acc: 90.97, F1: 91.72, Dice: 84.70, Pre: 0.85, Re: 1.00, TP: 620, TN: 508, FP: 112, FN: 0
[TRAIN] Epoch 4: Loss: 0.2994, Acc: 89.98, F1: 90.75, Dice: 83.07, Pre: 0.84, Re: 0.98, TP: 1982, TN: 1644, FP: 371, FN: 33
[VALID] Epoch 4: Loss: 0.8091, Acc: 91.37, F1: 92.02, Dice: 85.22, Pre: 0.86, Re: 1.00, TP: 617, TN: 516, FP: 104, FN: 3
[TRAIN] Epoch 5: Loss: 0.2725, Acc: 90.42, F1: 91.15, Dice: 83.74, Pre: 0.85, Re: 0.99, TP: 1988, TN: 1656, FP: 359, FN: 27
[VALID] Epoch 5: Loss: 0.8092, Acc: 91.29, F1: 91.98, Dice: 85.14, Pre: 0.85, Re: 1.00, TP: 619, TN: 513, FP: 107, FN: 1
[TRAIN] Epoch 6: Loss: 0.2588, Acc: 90.40, F1: 91.04, Dice: 83.56, Pre: 0.85, Re: 0.98, TP: 1967, TN: 1676, FP: 339, FN: 48
[VALID] Epoch 6: Loss: 0.8091, Acc: 91.53, F1: 92.04, Dice: 85.25, Pre: 0.87, Re: 0.98, TP: 607, TN: 528, FP: 92, FN: 13
[TRAIN] Epoch 7: Loss: 0.2420, Acc: 90.57, F1: 91.20, Dice: 83.82, Pre: 0.85, Re: 0.98, TP: 1969, TN: 1681, FP: 334, FN: 46
[VALID] Epoch 7: Loss: 0.8096, Acc: 91.37, F1: 91.89, Dice: 84.99, Pre: 0.87, Re: 0.98, TP: 606, TN: 527, FP: 93, FN: 14
[TRAIN] Epoch 8: Loss: 0.2342, Acc: 90.82, F1: 91.40, Dice: 84.17, Pre: 0.86, Re: 0.98, TP: 1967, TN: 1693, FP: 322, FN: 48
